Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
3/28/2016,14:30:00,14.593,90.495,Logged,,,,
3/28/2016,14:45:00,14.5914,87.004,,,,,
3/28/2016,15:00:00,14.5867,85.194,,,,,
3/28/2016,15:15:00,14.993,80.382,,,,,
3/28/2016,15:30:00,14.9926,80.206,,,,,
3/28/2016,15:45:00,14.9899,80.206,,,,,
3/28/2016,16:00:00,14.9926,80.206,,,,,
3/28/2016,16:15:00,15.0024,80.206,,,,,
3/28/2016,16:30:00,15.0198,80.206,,,,,
3/28/2016,16:45:00,15.0572,80.206,,,,,
3/28/2016,17:00:00,15.0822,80.206,,,,,
3/28/2016,17:15:00,15.0871,80.206,,,,,
3/28/2016,17:30:00,15.0846,80.206,,,,,
3/28/2016,17:45:00,15.0771,80.206,,,,,
3/28/2016,18:00:00,15.0746,80.206,,,,,
3/28/2016,18:15:00,15.0668,80.029,,,,,
3/28/2016,18:30:00,15.0693,80.029,,,,,
3/28/2016,18:45:00,15.0617,80.029,,,,,
3/28/2016,19:00:00,15.0617,80.029,,,,,
3/28/2016,19:15:00,15.0588,79.853,,,,,
3/28/2016,19:30:00,15.0588,79.853,,,,,
3/28/2016,19:45:00,15.0639,79.853,,,,,
3/28/2016,20:00:00,15.0584,79.678,,,,,
3/28/2016,20:15:00,15.0584,79.678,,,,,
3/28/2016,20:30:00,15.0659,79.678,,,,,
3/28/2016,20:45:00,15.0659,79.678,,,,,
3/28/2016,21:00:00,15.0604,79.502,,,,,
3/28/2016,21:15:00,15.0555,79.502,,,,,
3/28/2016,21:30:00,15.0555,79.502,,,,,
3/28/2016,21:45:00,15.058,79.502,,,,,
3/28/2016,22:00:00,15.0575,79.326,,,,,
3/28/2016,22:15:00,15.0526,79.326,,,,,
3/28/2016,22:30:00,15.0526,79.326,,,,,
3/28/2016,22:45:00,15.0477,79.326,,,,,
3/28/2016,23:00:00,15.0451,79.326,,,,,
3/28/2016,23:15:00,15.0426,79.326,,,,,
3/28/2016,23:30:00,15.0397,79.151,,,,,
3/28/2016,23:45:00,15.0372,79.151,,,,,
3/29/2016,0:00:00,15.0348,79.151,,,,,
3/29/2016,0:15:00,15.0323,79.151,,,,,
3/29/2016,0:30:00,15.0298,79.151,,,,,
3/29/2016,0:45:00,15.0218,78.975,,,,,
3/29/2016,1:00:00,15.0145,78.975,,,,,
3/29/2016,1:15:00,15.0118,78.975,,,,,
3/29/2016,1:30:00,15.0094,78.975,,,,,
3/29/2016,1:45:00,15.0015,78.8,,,,,
3/29/2016,2:00:00,14.9991,78.8,,,,,
3/29/2016,2:15:00,14.9966,78.8,,,,,
3/29/2016,2:30:00,14.9891,78.8,,,,,
3/29/2016,2:45:00,14.9862,78.624,,,,,
3/29/2016,3:00:00,14.9862,78.624,,,,,
3/29/2016,3:15:00,14.9837,78.624,,,,,
3/29/2016,3:30:00,14.9837,78.624,,,,,
3/29/2016,3:45:00,14.9786,78.624,,,,,
3/29/2016,4:00:00,14.9783,78.449,,,,,
3/29/2016,4:15:00,14.9783,78.449,,,,,
3/29/2016,4:30:00,14.9757,78.449,,,,,
3/29/2016,4:45:00,14.9757,78.449,,,,,
3/29/2016,5:00:00,14.9733,78.449,,,,,
3/29/2016,5:15:00,14.9708,78.449,,,,,
3/29/2016,5:30:00,14.9753,78.274,,,,,
3/29/2016,5:45:00,14.9779,78.274,,,,,
3/29/2016,6:00:00,14.9753,78.274,,,,,
3/29/2016,6:15:00,14.9753,78.274,,,,,
3/29/2016,6:30:00,14.9728,78.274,,,,,
3/29/2016,6:45:00,14.9753,78.274,,,,,
3/29/2016,7:00:00,14.9804,78.274,,,,,
3/29/2016,7:15:00,14.9804,78.274,,,,,
3/29/2016,7:30:00,14.9828,78.274,,,,,
3/29/2016,7:45:00,14.9828,78.274,,,,,
3/29/2016,8:00:00,14.9828,78.274,,,,,
3/29/2016,8:15:00,14.9878,78.274,,,,,
3/29/2016,8:30:00,14.9902,78.274,,,,,
3/29/2016,8:45:00,14.9902,78.274,,,,,
3/29/2016,9:00:00,14.9978,78.274,,,,,
3/29/2016,9:15:00,14.9928,78.274,,,,,
3/29/2016,9:30:00,14.9933,78.449,,,,,
3/29/2016,9:45:00,15.0007,78.449,,,,,
3/29/2016,10:00:00,15.0031,78.449,,,,,
3/29/2016,10:15:00,15.0007,78.449,,,,,
3/29/2016,10:30:00,15.0007,78.449,,,,,
3/29/2016,10:45:00,14.9936,78.624,,,,,
3/29/2016,11:00:00,14.9862,78.624,,,,,
3/29/2016,11:15:00,14.9786,78.624,,,,,
3/29/2016,11:30:00,14.9766,78.8,,,,,
3/29/2016,11:45:00,14.9721,78.975,,,,,
3/29/2016,12:00:00,14.965,79.151,,,,,
3/29/2016,12:15:00,14.9605,79.326,,,,,
3/29/2016,12:30:00,14.9556,79.326,,,,,
3/29/2016,12:45:00,14.9534,79.502,,,,,
3/29/2016,13:00:00,14.9538,79.678,,,,,
3/29/2016,13:15:00,14.9469,79.853,,,,,
3/29/2016,13:30:00,14.9447,80.029,,,,,
3/29/2016,13:45:00,14.9377,80.206,,,,,
3/29/2016,14:00:00,14.9306,80.382,,,,,
3/29/2016,14:15:00,14.9306,80.382,,,,,
3/29/2016,14:30:00,14.9257,80.382,,,,,
3/29/2016,14:45:00,14.9208,80.382,,,,,
3/29/2016,15:00:00,14.9187,80.559,,,,,
3/29/2016,15:15:00,14.9161,80.559,,,,,
3/29/2016,15:30:00,14.9161,80.559,,,,,
3/29/2016,15:45:00,14.9112,80.559,,,,,
3/29/2016,16:00:00,14.9112,80.559,,,,,
3/29/2016,16:15:00,14.9132,80.382,,,,,
3/29/2016,16:30:00,14.9183,80.382,,,,,
3/29/2016,16:45:00,14.937,80.911,,,,,
3/29/2016,17:00:00,14.9406,80.382,,,,,
3/29/2016,17:15:00,14.9406,80.382,,,,,
3/29/2016,17:30:00,14.9427,80.206,,,,,
3/29/2016,17:45:00,14.9427,80.206,,,,,
3/29/2016,18:00:00,14.9451,80.206,,,,,
3/29/2016,18:15:00,14.9473,80.029,,,,,
3/29/2016,18:30:00,14.9473,80.029,,,,,
3/29/2016,18:45:00,14.9422,80.029,,,,,
3/29/2016,19:00:00,14.9447,80.029,,,,,
3/29/2016,19:15:00,14.9473,80.029,,,,,
3/29/2016,19:30:00,14.9518,79.853,,,,,
3/29/2016,19:45:00,14.9543,79.853,,,,,
3/29/2016,20:00:00,14.9543,79.853,,,,,
3/29/2016,20:15:00,14.9567,79.853,,,,,
3/29/2016,20:30:00,14.9618,79.853,,,,,
3/29/2016,20:45:00,14.9638,79.678,,,,,
3/29/2016,21:00:00,14.9638,79.678,,,,,
3/29/2016,21:15:00,14.9712,79.678,,,,,
3/29/2016,21:30:00,15.0709,79.678,,,,,
3/29/2016,21:45:00,15.2768,79.326,,,,,
3/29/2016,22:00:00,15.5304,78.975,,,,,
3/29/2016,22:15:00,15.4916,78.449,,,,,
3/29/2016,22:30:00,15.4188,78.274,,,,,
3/29/2016,22:45:00,15.376,78.098,,,,,
3/29/2016,23:00:00,15.3511,78.098,,,,,
3/29/2016,23:15:00,15.3611,78.098,,,,,
3/29/2016,23:30:00,15.5232,78.098,,,,,
3/29/2016,23:45:00,15.5827,77.923,,,,,
3/30/2016,0:00:00,15.5224,77.749,,,,,
3/30/2016,0:15:00,15.485,77.749,,,,,
3/30/2016,0:30:00,15.4425,77.749,,,,,
3/30/2016,0:45:00,15.413,77.923,,,,,
3/30/2016,1:00:00,15.3781,77.923,,,,,
3/30/2016,1:15:00,15.3607,77.923,,,,,
3/30/2016,1:30:00,15.3433,77.923,,,,,
3/30/2016,1:45:00,15.3257,77.923,,,,,
3/30/2016,2:00:00,15.3132,77.923,,,,,
3/30/2016,2:15:00,15.2983,77.923,,,,,
3/30/2016,2:30:00,15.2884,77.923,,,,,
3/30/2016,2:45:00,15.2709,77.923,,,,,
3/30/2016,3:00:00,15.258,77.749,,,,,
3/30/2016,3:15:00,15.243,77.749,,,,,
3/30/2016,3:30:00,15.2332,77.749,,,,,
3/30/2016,3:45:00,15.2256,77.749,,,,,
3/30/2016,4:00:00,15.2181,77.749,,,,,
3/30/2016,4:15:00,15.2132,77.749,,,,,
3/30/2016,4:30:00,15.2132,77.749,,,,,
3/30/2016,4:45:00,15.2132,77.749,,,,,
3/30/2016,5:00:00,15.2211,77.923,,,,,
3/30/2016,5:15:00,15.2185,77.923,,,,,
3/30/2016,5:30:00,15.2136,77.923,,,,,
3/30/2016,5:45:00,15.2116,78.098,,,,,
3/30/2016,6:00:00,15.2091,78.098,,,,,
3/30/2016,6:15:00,15.1991,78.098,,,,,
3/30/2016,6:30:00,15.2016,78.098,,,,,
3/30/2016,6:45:00,15.1995,78.274,,,,,
3/30/2016,7:00:00,15.192,78.274,,,,,
3/30/2016,7:15:00,15.1895,78.274,,,,,
3/30/2016,7:30:00,15.187,78.274,,,,,
3/30/2016,7:45:00,15.1821,78.274,,,,,
3/30/2016,8:00:00,15.1795,78.274,,,,,
3/30/2016,8:15:00,15.1795,78.274,,,,,
3/30/2016,8:30:00,15.1746,78.274,,,,,
3/30/2016,8:45:00,15.1721,78.274,,,,,
