"Plot Title: 4.1.1 Nuuuli 11.17.2022"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20483952, SEN S/N: 20483952)","Temp, °F (LGR S/N: 20483952, SEN S/N: 20483952)","Coupler Detached (LGR S/N: 20483952)","Coupler Attached (LGR S/N: 20483952)","Host Connected (LGR S/N: 20483952)","Stopped (LGR S/N: 20483952)","End Of File (LGR S/N: 20483952)"
1,11/17/22 12:15:00 PM,14.9225,77.400,Logged,,,,
2,11/17/22 12:30:00 PM,14.9200,77.400,,,,,
3,11/17/22 12:45:00 PM,14.9180,77.574,,,,,
4,11/17/22 01:00:00 PM,14.9160,77.749,,,,,
5,11/17/22 01:15:00 PM,14.9163,77.923,,,,,
6,11/17/22 01:30:00 PM,14.9118,78.098,,,,,
7,11/17/22 01:45:00 PM,14.9097,78.274,,,,,
8,11/17/22 02:00:00 PM,14.9073,78.274,,,,,
9,11/17/22 02:15:00 PM,14.9048,78.274,,,,,
10,11/17/22 02:30:00 PM,14.9052,78.449,,,,,
11,11/17/22 02:45:00 PM,14.9055,78.624,,,,,
12,11/17/22 03:00:00 PM,14.9060,78.800,,,,,
13,11/17/22 03:15:00 PM,14.9060,78.800,,,,,
14,11/17/22 03:30:00 PM,14.9010,78.800,,,,,
15,11/17/22 03:45:00 PM,14.9035,78.800,,,,,
16,11/17/22 04:00:00 PM,14.8986,78.800,,,,,
17,11/17/22 04:15:00 PM,14.9010,78.800,,,,,
18,11/17/22 04:30:00 PM,14.9010,78.800,,,,,
19,11/17/22 04:45:00 PM,14.8983,78.624,,,,,
20,11/17/22 05:00:00 PM,14.9055,78.624,,,,,
21,11/17/22 05:15:00 PM,14.9028,78.449,,,,,
22,11/17/22 05:30:00 PM,14.9048,78.274,,,,,
23,11/17/22 05:45:00 PM,14.9073,78.274,,,,,
24,11/17/22 06:00:00 PM,14.9093,78.098,,,,,
25,11/17/22 06:15:00 PM,14.9115,77.923,,,,,
26,11/17/22 06:30:00 PM,14.9115,77.923,,,,,
27,11/17/22 06:45:00 PM,14.9135,77.749,,,,,
28,11/17/22 07:00:00 PM,14.9135,77.749,,,,,
29,11/17/22 07:15:00 PM,14.9155,77.574,,,,,
30,11/17/22 07:30:00 PM,14.9180,77.574,,,,,
31,11/17/22 07:45:00 PM,14.9200,77.400,,,,,
32,11/17/22 08:00:00 PM,14.9200,77.400,,,,,
33,11/17/22 08:15:00 PM,14.9247,77.225,,,,,
34,11/17/22 08:30:00 PM,14.9247,77.225,,,,,
35,11/17/22 08:45:00 PM,14.9247,77.225,,,,,
36,11/17/22 09:00:00 PM,14.9267,77.050,,,,,
37,11/17/22 09:15:00 PM,14.9267,77.050,,,,,
38,11/17/22 09:30:00 PM,14.9292,77.050,,,,,
39,11/17/22 09:45:00 PM,14.9312,76.876,,,,,
40,11/17/22 10:00:00 PM,14.9312,76.876,,,,,
41,11/17/22 10:15:00 PM,14.9337,76.876,,,,,
42,11/17/22 10:30:00 PM,14.9332,76.703,,,,,
43,11/17/22 10:45:00 PM,14.9332,76.703,,,,,
44,11/17/22 11:00:00 PM,14.9332,76.703,,,,,
45,11/17/22 11:15:00 PM,14.9329,76.528,,,,,
46,11/17/22 11:30:00 PM,14.9280,76.528,,,,,
47,11/17/22 11:45:00 PM,14.9255,76.528,,,,,
48,11/18/22 12:00:00 AM,14.9280,76.528,,,,,
49,11/18/22 12:15:00 AM,14.9253,76.354,,,,,
50,11/18/22 12:30:00 AM,14.9203,76.354,,,,,
51,11/18/22 12:45:00 AM,14.9154,76.354,,,,,
52,11/18/22 01:00:00 AM,14.9126,76.181,,,,,
53,11/18/22 01:15:00 AM,14.9102,76.181,,,,,
54,11/18/22 01:30:00 AM,14.9077,76.181,,,,,
55,11/18/22 01:45:00 AM,14.9054,76.181,,,,,
56,11/18/22 02:00:00 AM,14.9000,76.006,,,,,
57,11/18/22 02:15:00 AM,14.8977,76.006,,,,,
58,11/18/22 02:30:00 AM,14.8977,76.006,,,,,
59,11/18/22 02:45:00 AM,14.8952,76.006,,,,,
60,11/18/22 03:00:00 AM,14.8928,76.006,,,,,
61,11/18/22 03:15:00 AM,14.8923,75.832,,,,,
62,11/18/22 03:30:00 AM,14.8923,75.832,,,,,
63,11/18/22 03:45:00 AM,14.8923,75.832,,,,,
64,11/18/22 04:00:00 AM,14.8920,75.659,,,,,
65,11/18/22 04:15:00 AM,14.8945,75.659,,,,,
66,11/18/22 04:30:00 AM,14.8993,75.659,,,,,
67,11/18/22 04:45:00 AM,14.8993,75.659,,,,,
68,11/18/22 05:00:00 AM,14.9039,75.484,,,,,
69,11/18/22 05:15:00 AM,14.9039,75.484,,,,,
70,11/18/22 05:30:00 AM,14.9087,75.484,,,,,
71,11/18/22 05:45:00 AM,14.9112,75.484,,,,,
72,11/18/22 06:00:00 AM,14.9137,75.484,,,,,
73,11/18/22 06:15:00 AM,14.9186,75.484,,,,,
74,11/18/22 06:30:00 AM,14.9210,75.484,,,,,
75,11/18/22 06:45:00 AM,14.9210,75.484,,,,,
76,11/18/22 07:00:00 AM,14.9258,75.484,,,,,
77,11/18/22 07:15:00 AM,14.9234,75.484,,,,,
78,11/18/22 07:30:00 AM,14.9283,75.484,,,,,
79,11/18/22 07:45:00 AM,14.9283,75.484,,,,,
80,11/18/22 08:00:00 AM,14.9283,75.484,,,,,
81,11/18/22 08:15:00 AM,14.9283,75.484,,,,,
82,11/18/22 08:30:00 AM,14.9258,75.484,,,,,
83,11/18/22 08:45:00 AM,14.9238,75.659,,,,,
84,11/18/22 09:00:00 AM,14.9263,75.659,,,,,
85,11/18/22 09:15:00 AM,14.9241,75.832,,,,,
86,11/18/22 09:30:00 AM,14.9245,76.006,,,,,
87,11/18/22 09:45:00 AM,14.9248,76.181,,,,,
88,11/18/22 10:00:00 AM,14.9228,76.354,,,,,
89,11/18/22 10:15:00 AM,14.9208,76.528,,,,,
90,11/18/22 10:30:00 AM,14.9183,76.528,,,,,
91,11/18/22 10:45:00 AM,14.9186,76.703,,,,,
92,11/18/22 11:00:00 AM,14.9166,76.876,,,,,
93,11/18/22 11:15:00 AM,14.9141,76.876,,,,,
94,11/18/22 11:30:00 AM,14.9145,77.050,,,,,
95,11/18/22 11:45:00 AM,14.9148,77.225,,,,,
96,11/18/22 12:00:00 PM,14.9128,77.400,,,,,
97,11/18/22 12:15:00 PM,14.9106,77.574,,,,,
98,11/18/22 12:30:00 PM,14.9065,77.923,,,,,
99,11/18/22 12:45:00 PM,14.9065,77.923,,,,,
100,11/18/22 01:00:00 PM,14.9045,78.098,,,,,
101,11/18/22 01:15:00 PM,14.9028,78.449,,,,,
102,11/18/22 01:30:00 PM,14.9003,78.449,,,,,
103,11/18/22 01:45:00 PM,14.8983,78.624,,,,,
104,11/18/22 02:00:00 PM,14.8961,78.800,,,,,
105,11/18/22 02:15:00 PM,14.8938,78.800,,,,,
106,11/18/22 02:30:00 PM,14.8938,78.800,,,,,
107,11/18/22 02:45:00 PM,14.8913,78.800,,,,,
108,11/18/22 03:00:00 PM,14.8913,78.800,,,,,
109,11/18/22 03:15:00 PM,14.8909,78.624,,,,,
110,11/18/22 03:30:00 PM,14.8909,78.624,,,,,
111,11/18/22 03:45:00 PM,14.8909,78.624,,,,,
112,11/18/22 04:00:00 PM,14.8909,78.624,,,,,
113,11/18/22 04:15:00 PM,14.8933,78.624,,,,,
114,11/18/22 04:30:00 PM,14.8857,78.449,,,,,
115,11/18/22 04:45:00 PM,14.8906,78.449,,,,,
116,11/18/22 05:00:00 PM,14.8877,78.274,,,,,
117,11/18/22 05:15:00 PM,14.8926,78.274,,,,,
118,11/18/22 05:30:00 PM,14.8947,78.098,,,,,
119,11/18/22 05:45:00 PM,14.8971,78.098,,,,,
120,11/18/22 06:00:00 PM,14.8996,78.098,,,,,
121,11/18/22 06:15:00 PM,14.9065,77.923,,,,,
122,11/18/22 06:30:00 PM,14.9090,77.923,,,,,
123,11/18/22 06:45:00 PM,14.9138,77.923,,,,,
124,11/18/22 07:00:00 PM,14.9160,77.749,,,,,
125,11/18/22 07:15:00 PM,14.9160,77.749,,,,,
126,11/18/22 07:30:00 PM,14.9160,77.749,,,,,
127,11/18/22 07:45:00 PM,14.9160,77.749,,,,,
128,11/18/22 08:00:00 PM,14.9155,77.574,,,,,
129,11/18/22 08:15:00 PM,14.9155,77.574,,,,,
130,11/18/22 08:30:00 PM,14.9106,77.574,,,,,
131,11/18/22 08:45:00 PM,14.9106,77.574,,,,,
132,11/18/22 09:00:00 PM,14.9083,77.574,,,,,
133,11/18/22 09:15:00 PM,14.9103,77.400,,,,,
