Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/15/2023,17:45,15.0477,78.8,Logged,,,,
12/15/2023,18:00,15.04,78.624,,,,,
12/15/2023,18:15,15.0327,78.624,,,,,
12/15/2023,18:30,15.0303,78.624,,,,,
12/15/2023,18:45,15.0278,78.624,,,,,
12/15/2023,19:00,15.0229,78.624,,,,,
12/15/2023,19:15,15.0226,78.449,,,,,
12/15/2023,19:30,15.0226,78.449,,,,,
12/15/2023,19:45,15.0249,78.449,,,,,
12/15/2023,20:00,15.0226,78.449,,,,,
12/15/2023,20:15,15.0201,78.449,,,,,
12/15/2023,20:30,15.0176,78.449,,,,,
12/15/2023,20:45,15.0172,78.274,,,,,
12/15/2023,21:00,15.0124,78.274,,,,,
12/15/2023,21:15,15.0124,78.274,,,,,
12/15/2023,21:30,15.0491,78.274,,,,,
12/15/2023,21:45,15.1644,78.449,,,,,
12/15/2023,22:00,15.3504,78.449,,,,,
12/15/2023,22:15,15.4725,78.274,,,,,
12/15/2023,22:30,15.5331,77.923,,,,,
12/15/2023,22:45,15.4542,77.749,,,,,
12/15/2023,23:00,15.4076,77.749,,,,,
12/15/2023,23:15,15.3514,77.749,,,,,
12/15/2023,23:30,15.3219,77.749,,,,,
12/15/2023,23:45,15.2951,77.749,,,,,
12/16/2023,0:00,15.2706,77.749,,,,,
12/16/2023,0:15,15.2513,77.923,,,,,
12/16/2023,0:30,15.3102,77.923,,,,,
12/16/2023,0:45,15.5869,77.923,,,,,
12/16/2023,1:00,15.719,77.749,,,,,
12/16/2023,1:15,15.7779,77.749,,,,,
12/16/2023,1:30,16.3005,77.4,,,,,
12/16/2023,1:45,16.3075,77.225,,,,,
12/16/2023,2:00,16.1517,76.876,,,,,
12/16/2023,2:15,16.099,76.354,,,,,
12/16/2023,2:30,16.02,76.181,,,,,
12/16/2023,2:45,15.9193,76.181,,,,,
12/16/2023,3:00,16.0764,76.181,,,,,
12/16/2023,3:15,16.1424,76.006,,,,,
12/16/2023,3:30,16.0143,75.832,,,,,
12/16/2023,3:45,15.9427,75.659,,,,,
12/16/2023,4:00,15.9133,75.659,,,,,
12/16/2023,4:15,15.8715,75.659,,,,,
12/16/2023,4:30,15.8056,75.832,,,,,
12/16/2023,4:45,15.732,75.832,,,,,
12/16/2023,5:00,15.7148,75.832,,,,,
12/16/2023,5:15,15.7025,75.832,,,,,
12/16/2023,5:30,15.7,75.832,,,,,
12/16/2023,5:45,15.6683,75.832,,,,,
12/16/2023,6:00,15.6584,75.832,,,,,
12/16/2023,6:15,15.6413,75.832,,,,,
12/16/2023,6:30,15.6438,75.832,,,,,
12/16/2023,6:45,15.6213,75.659,,,,,
12/16/2023,7:00,15.582,75.659,,,,,
12/16/2023,7:15,15.5768,75.484,,,,,
12/16/2023,7:30,15.5478,75.659,,,,,
12/16/2023,7:45,15.5404,75.659,,,,,
12/16/2023,8:00,15.5163,75.832,,,,,
12/16/2023,8:15,15.5019,76.006,,,,,
12/16/2023,8:30,15.4851,76.181,,,,,
12/16/2023,8:45,15.4655,76.181,,,,,
12/16/2023,9:00,15.4512,76.354,,,,,
12/16/2023,9:15,15.4439,76.354,,,,,
12/16/2023,9:30,15.4295,76.528,,,,,
12/16/2023,9:45,15.4124,76.528,,,,,
12/16/2023,10:00,15.3904,76.528,,,,,
12/16/2023,10:15,15.3859,76.703,,,,,
12/16/2023,10:30,15.3736,76.703,,,,,
12/16/2023,10:45,15.3617,76.876,,,,,
12/16/2023,11:00,15.3544,76.876,,,,,
12/16/2023,11:15,15.3475,77.05,,,,,
12/16/2023,11:30,15.3376,77.05,,,,,
12/16/2023,11:45,15.3327,77.05,,,,,
12/16/2023,12:00,15.316,77.225,,,,,
12/16/2023,12:15,15.3115,77.4,,,,,
12/16/2023,12:30,15.3041,77.4,,,,,
12/16/2023,12:45,15.3021,77.574,,,,,
12/16/2023,13:00,15.2897,77.574,,,,,
12/16/2023,13:15,15.2825,77.574,,,,,
12/16/2023,13:30,15.2726,77.574,,,,,
12/16/2023,13:45,15.2604,77.574,,,,,
12/16/2023,14:00,15.2607,77.749,,,,,
12/16/2023,14:15,15.2607,77.749,,,,,
12/16/2023,14:30,15.251,77.749,,,,,
12/16/2023,14:45,15.2436,77.749,,,,,
12/16/2023,15:00,15.2436,77.749,,,,,
12/16/2023,15:15,15.2364,77.749,,,,,
12/16/2023,15:30,15.2411,77.749,,,,,
12/16/2023,15:45,15.2314,77.749,,,,,
12/16/2023,16:00,15.2314,77.749,,,,,
12/16/2023,16:15,15.2216,77.749,,,,,
12/16/2023,16:30,15.2191,77.749,,,,,
12/16/2023,16:45,15.2139,77.574,,,,,
12/16/2023,17:00,15.2163,77.574,,,,,
12/16/2023,17:15,15.2136,77.4,,,,,
12/16/2023,17:30,15.2062,77.4,,,,,
12/16/2023,17:45,15.2062,77.4,,,,,
12/16/2023,18:00,15.2111,77.4,,,,,
12/16/2023,18:15,15.2111,77.4,,,,,
12/16/2023,18:30,15.2058,77.225,,,,,
12/16/2023,18:45,15.201,77.225,,,,,
12/16/2023,19:00,15.2058,77.225,,,,,
12/16/2023,19:15,15.2033,77.225,,,,,
12/16/2023,19:30,15.196,77.225,,,,,
12/16/2023,19:45,15.1985,77.225,,,,,
12/16/2023,20:00,15.1936,77.225,,,,,
12/16/2023,20:15,15.1985,77.225,,,,,
12/16/2023,20:30,15.1911,77.225,,,,,
12/16/2023,20:45,15.196,77.225,,,,,
12/16/2023,21:00,15.1911,77.225,,,,,
12/16/2023,21:15,15.1886,77.225,,,,,
12/16/2023,21:30,15.1862,77.225,,,,,
12/16/2023,21:45,15.1814,77.225,,,,,
12/16/2023,22:00,15.1744,77.4,,,,,
12/16/2023,22:15,15.172,77.4,,,,,
12/16/2023,22:30,15.1744,77.4,,,,,
12/16/2023,22:45,15.167,77.4,,,,,
12/16/2023,23:00,15.1621,77.4,,,,,
12/16/2023,23:15,15.1601,77.574,,,,,
12/16/2023,23:30,15.1576,77.574,,,,,
12/16/2023,23:45,15.1524,77.4,,,,,
12/17/2023,0:00,15.1479,77.574,,,,,
12/17/2023,0:15,15.1405,77.574,,,,,
12/17/2023,0:30,15.1356,77.574,,,,,
12/17/2023,0:45,15.1331,77.574,,,,,
12/17/2023,1:00,15.1283,77.574,,,,,
12/17/2023,1:15,15.1258,77.574,,,,,
12/17/2023,1:30,15.1234,77.574,,,,,
12/17/2023,1:45,15.1184,77.574,,,,,
12/17/2023,2:00,15.1137,77.574,,,,,
12/17/2023,2:15,15.1087,77.574,,,,,
12/17/2023,2:30,15.1038,77.574,,,,,
12/17/2023,2:45,15.1038,77.574,,,,,
12/17/2023,3:00,15.1013,77.574,,,,,
12/17/2023,3:15,15.0964,77.574,,,,,
12/17/2023,3:30,15.0916,77.574,,,,,
12/17/2023,3:45,15.0941,77.574,,,,,
12/17/2023,4:00,15.0964,77.574,,,,,
12/17/2023,4:15,15.0989,77.574,,,,,
12/17/2023,4:30,15.0916,77.574,,,,,
12/17/2023,4:45,15.0941,77.574,,,,,
12/17/2023,5:00,15.0964,77.574,,,,,
12/17/2023,5:15,15.0941,77.574,,,,,
12/17/2023,5:30,15.1137,77.574,,,,,
12/17/2023,5:45,15.1506,77.749,,,,,
12/17/2023,6:00,15.1625,77.574,,,,,
12/17/2023,6:15,15.2017,77.574,,,,,
12/17/2023,6:30,15.2087,77.4,,,,,
12/17/2023,6:45,15.1963,77.4,,,,,
12/17/2023,7:00,15.1866,77.4,,,,,
12/17/2023,7:15,15.174,77.225,,,,,
12/17/2023,7:30,15.1621,77.4,,,,,
12/17/2023,7:45,15.1548,77.4,,,,,
12/17/2023,8:00,15.1573,77.4,,,,,
12/17/2023,8:15,15.1479,77.574,,,,,
12/17/2023,8:30,15.1454,77.574,,,,,
12/17/2023,8:45,15.1405,77.574,,,,,
12/17/2023,9:00,15.138,77.574,,,,,
12/17/2023,9:15,15.1331,77.574,,,,,
12/17/2023,9:30,15.1356,77.574,,,,,
12/17/2023,9:45,15.1283,77.574,,,,,
12/17/2023,10:00,15.1286,77.749,,,,,
12/17/2023,10:15,15.1238,77.749,,,,,
12/17/2023,10:30,15.1189,77.749,,,,,
12/17/2023,10:45,15.1115,77.749,,,,,
12/17/2023,11:00,15.1119,77.923,,,,,
12/17/2023,11:15,15.1099,78.098,,,,,
12/17/2023,11:30,15.105,78.098,,,,,
12/17/2023,11:45,15.098,78.274,,,,,
12/17/2023,12:00,15.0955,78.274,,,,,
12/17/2023,12:15,15.0931,78.274,,,,,
12/17/2023,12:30,15.0906,78.274,,,,,
12/17/2023,12:45,15.0906,78.274,,,,,
12/17/2023,13:00,15.0857,78.274,,,,,
12/17/2023,13:15,15.0833,78.274,,,,,
12/17/2023,13:30,15.0833,78.274,,,,,
12/17/2023,13:45,15.0809,78.274,,,,,
12/17/2023,14:00,15.078,78.098,,,,,
12/17/2023,14:15,15.078,78.098,,,,,
12/17/2023,14:30,15.0707,78.098,,,,,
12/17/2023,14:45,15.0732,78.098,,,,,
12/17/2023,15:00,15.0683,78.098,,,,,
12/17/2023,15:15,15.0683,78.098,,,,,
12/17/2023,15:30,15.0658,78.098,,,,,
12/17/2023,15:45,15.0683,78.098,,,,,
12/17/2023,16:00,15.0703,77.923,,,,,
12/17/2023,16:15,15.0678,77.923,,,,,
12/17/2023,16:30,15.07,77.749,,,,,
12/17/2023,16:45,15.0651,77.749,,,,,
12/17/2023,17:00,15.07,77.749,,,,,
12/17/2023,17:15,15.07,77.749,,,,,
12/17/2023,17:30,15.07,77.749,,,,,
12/17/2023,17:45,15.07,77.749,,,,,
12/17/2023,18:00,15.0723,77.749,,,,,
12/17/2023,18:15,15.0696,77.574,,,,,
12/17/2023,18:30,15.0696,77.574,,,,,
12/17/2023,18:45,15.0716,77.4,,,,,
12/17/2023,19:00,15.0741,77.4,,,,,
12/17/2023,19:15,15.0765,77.4,,,,,
12/17/2023,19:30,15.079,77.4,,,,,
12/17/2023,19:45,15.0765,77.4,,,,,
12/17/2023,20:00,15.0741,77.4,,,,,
12/17/2023,20:15,15.079,77.4,,,,,
12/17/2023,20:30,15.0815,77.4,,,,,
12/17/2023,20:45,15.0815,77.4,,,,,
12/17/2023,21:00,15.0815,77.4,,,,,
12/17/2023,21:15,15.0815,77.4,,,,,
12/17/2023,21:30,15.0815,77.4,,,,,
12/17/2023,21:45,15.0786,77.225,,,,,
12/17/2023,22:00,15.0761,77.225,,,,,
12/17/2023,22:15,15.0761,77.225,,,,,
12/17/2023,22:30,15.0684,77.05,,,,,
12/17/2023,22:45,15.0636,77.05,,,,,
12/17/2023,23:00,15.0661,77.05,,,,,
12/17/2023,23:15,15.0636,77.05,,,,,
12/17/2023,23:30,15.0583,76.876,,,,,
12/17/2023,23:45,15.0583,76.876,,,,,
12/18/2023,0:00,15.0559,76.876,,,,,
12/18/2023,0:15,15.051,76.876,,,,,
12/18/2023,0:30,15.0461,76.876,,,,,
12/18/2023,0:45,15.0388,76.876,,,,,
12/18/2023,1:00,15.0339,76.876,,,,,
12/18/2023,1:15,15.0314,76.876,,,,,
12/18/2023,1:30,15.0265,76.876,,,,,
12/18/2023,1:45,15.0245,77.05,,,,,
12/18/2023,2:00,15.022,77.05,,,,,
12/18/2023,2:15,15.0195,77.05,,,,,
12/18/2023,2:30,15.0171,77.05,,,,,
12/18/2023,2:45,15.0171,77.05,,,,,
12/18/2023,3:00,15.0171,77.05,,,,,
12/18/2023,3:15,15.0123,77.05,,,,,
12/18/2023,3:30,15.0123,77.05,,,,,
12/18/2023,3:45,15.0147,77.05,,,,,
12/18/2023,4:00,15.0147,77.05,,,,,
12/18/2023,4:15,15.0123,77.05,,,,,
12/18/2023,4:30,15.0147,77.05,,,,,
12/18/2023,4:45,15.015,77.225,,,,,
12/18/2023,5:00,15.0171,77.05,,,,,
12/18/2023,5:15,15.022,77.05,,,,,
12/18/2023,5:30,15.022,77.05,,,,,
12/18/2023,5:45,15.0245,77.05,,,,,
12/18/2023,6:00,15.0245,77.05,,,,,
12/18/2023,6:15,15.0245,77.05,,,,,
12/18/2023,6:30,15.0294,77.05,,,,,
12/18/2023,6:45,15.0272,77.225,,,,,
12/18/2023,7:00,15.0272,77.225,,,,,
12/18/2023,7:15,15.0247,77.225,,,,,
12/18/2023,7:30,15.0301,77.4,,,,,
12/18/2023,7:45,15.0277,77.4,,,,,
12/18/2023,8:00,15.0304,77.574,,,,,
12/18/2023,8:15,15.0279,77.574,,,,,
12/18/2023,8:30,15.0308,77.749,,,,,
12/18/2023,8:45,15.0288,77.923,,,,,
12/18/2023,9:00,15.0291,78.098,,,,,
12/18/2023,9:15,15.0266,78.098,,,,,
12/18/2023,9:30,15.0271,78.274,,,,,
12/18/2023,9:45,15.0249,78.449,,,,,
12/18/2023,10:00,15.0249,78.449,,,,,
12/18/2023,10:15,15.0226,78.449,,,,,
12/18/2023,10:30,15.0204,78.624,,,,,
12/18/2023,10:45,15.0184,78.8,,,,,
12/18/2023,11:00,15.0159,78.8,,,,,
12/18/2023,11:15,15.0114,78.975,,,,,
12/18/2023,11:30,15.0114,78.975,,,,,
12/18/2023,11:45,15.0069,79.151,,,,,
12/18/2023,12:00,15.002,79.151,,,,,
12/18/2023,12:15,15.002,79.151,,,,,
12/18/2023,12:30,14.9995,79.151,,,,,
12/18/2023,12:45,14.993,79.502,,,,,
12/18/2023,13:00,14.9902,79.326,,,,,
12/18/2023,13:15,14.9902,79.326,,,,,
12/18/2023,13:30,14.9905,79.502,,,,,
12/18/2023,13:45,14.9881,79.502,,,,,
12/18/2023,14:00,14.9856,79.502,,,,,
12/18/2023,14:15,14.986,79.678,,,,,
12/18/2023,14:30,14.9833,79.502,,,,,
12/18/2023,14:45,14.9808,79.502,,,,,
12/18/2023,15:00,14.9808,79.502,,,,,
12/18/2023,15:15,14.9779,79.326,,,,,
