"Plot Title: 4.1.2 Fagaalu 1.17.2023"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20945532, SEN S/N: 20945532)","Temp, °F (LGR S/N: 20945532, SEN S/N: 20945532)","Coupler Detached (LGR S/N: 20945532)","Coupler Attached (LGR S/N: 20945532)","Host Connected (LGR S/N: 20945532)","Stopped (LGR S/N: 20945532)","End Of File (LGR S/N: 20945532)"
1,01/17/23 11:30:00 AM,14.6085,85.194,Logged,,,,
2,01/17/23 11:45:00 AM,14.6094,83.221,,,,,
3,01/17/23 12:00:00 PM,14.6079,82.508,,,,,
4,01/17/23 12:15:00 PM,14.6104,82.152,,,,,
5,01/17/23 12:30:00 PM,14.6092,82.330,,,,,
6,01/17/23 12:45:00 PM,14.6079,82.508,,,,,
7,01/17/23 01:00:00 PM,14.6073,82.152,,,,,
8,01/17/23 01:15:00 PM,14.6057,82.152,,,,,
9,01/17/23 01:30:00 PM,14.6021,81.975,,,,,
10,01/17/23 01:45:00 PM,14.6002,81.797,,,,,
11,01/17/23 02:00:00 PM,14.6018,81.797,,,,,
12,01/17/23 02:15:00 PM,14.6002,81.797,,,,,
13,01/17/23 02:30:00 PM,14.5967,81.621,,,,,
14,01/17/23 02:45:00 PM,14.5992,81.266,,,,,
15,01/17/23 03:00:00 PM,14.6001,80.911,,,,,
16,01/17/23 03:15:00 PM,14.5978,80.559,,,,,
17,01/17/23 03:30:00 PM,14.5914,80.559,,,,,
18,01/17/23 03:45:00 PM,14.5937,80.911,,,,,
19,01/17/23 04:00:00 PM,14.5944,81.266,,,,,
20,01/17/23 04:15:00 PM,14.5931,81.442,,,,,
21,01/17/23 04:30:00 PM,14.5944,81.266,,,,,
22,01/17/23 04:45:00 PM,14.5960,81.266,,,,,
23,01/17/23 05:00:00 PM,14.5944,81.266,,,,,
24,01/17/23 05:15:00 PM,14.5972,81.090,,,,,
25,01/17/23 05:30:00 PM,14.6012,80.735,,,,,
26,01/17/23 05:45:00 PM,14.6009,80.559,,,,,
27,01/17/23 06:00:00 PM,14.6050,80.206,,,,,
28,01/17/23 06:15:00 PM,14.6047,80.029,,,,,
29,01/17/23 06:30:00 PM,14.6059,79.853,,,,,
30,01/17/23 06:45:00 PM,14.6088,79.678,,,,,
31,01/17/23 07:00:00 PM,14.6115,79.502,,,,,
32,01/17/23 07:15:00 PM,14.6144,79.326,,,,,
33,01/17/23 07:30:00 PM,14.6176,79.326,,,,,
34,01/17/23 07:45:00 PM,14.6173,79.151,,,,,
35,01/17/23 08:00:00 PM,14.6201,78.975,,,,,
36,01/17/23 08:15:00 PM,14.6265,78.975,,,,,
37,01/17/23 08:30:00 PM,14.6278,78.800,,,,,
38,01/17/23 08:45:00 PM,14.6310,78.800,,,,,
39,01/17/23 09:00:00 PM,14.6340,78.800,,,,,
40,01/17/23 09:15:00 PM,14.6356,78.800,,,,,
41,01/17/23 09:30:00 PM,14.6353,78.624,,,,,
42,01/17/23 09:45:00 PM,14.6353,78.624,,,,,
43,01/17/23 10:00:00 PM,14.6414,78.449,,,,,
44,01/17/23 10:15:00 PM,14.6378,78.274,,,,,
45,01/17/23 10:30:00 PM,14.6378,78.274,,,,,
46,01/17/23 10:45:00 PM,14.6394,78.274,,,,,
47,01/17/23 11:00:00 PM,14.6394,78.274,,,,,
48,01/17/23 11:15:00 PM,14.6362,78.274,,,,,
49,01/17/23 11:30:00 PM,14.6362,78.274,,,,,
50,01/17/23 11:45:00 PM,14.6302,78.449,,,,,
51,01/18/23 12:00:00 AM,14.6287,78.449,,,,,
52,01/18/23 12:15:00 AM,14.6284,78.274,,,,,
53,01/18/23 12:30:00 AM,14.6279,78.098,,,,,
54,01/18/23 12:45:00 AM,14.6263,78.098,,,,,
55,01/18/23 01:00:00 AM,14.6244,77.923,,,,,
56,01/18/23 01:15:00 AM,14.6165,77.923,,,,,
57,01/18/23 01:30:00 AM,14.6165,77.923,,,,,
58,01/18/23 01:45:00 AM,14.6105,78.098,,,,,
59,01/18/23 02:00:00 AM,14.6105,78.098,,,,,
60,01/18/23 02:15:00 AM,14.6041,78.098,,,,,
61,01/18/23 02:30:00 AM,14.6025,78.098,,,,,
62,01/18/23 02:45:00 AM,14.6009,78.098,,,,,
63,01/18/23 03:00:00 AM,14.5994,78.098,,,,,
64,01/18/23 03:15:00 AM,14.5978,78.098,,,,,
65,01/18/23 03:30:00 AM,14.6025,78.098,,,,,
66,01/18/23 03:45:00 AM,14.6009,78.098,,,,,
67,01/18/23 04:00:00 AM,14.5978,78.098,,,,,
68,01/18/23 04:15:00 AM,14.6025,78.098,,,,,
69,01/18/23 04:30:00 AM,14.6025,78.098,,,,,
