"Plot Title: 4.1.2 Fagaalu 1.17.2024"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20945532, SEN S/N: 20945532)","Temp, °F (LGR S/N: 20945532, SEN S/N: 20945532)","Coupler Detached (LGR S/N: 20945532)","Coupler Attached (LGR S/N: 20945532)","Host Connected (LGR S/N: 20945532)","Stopped (LGR S/N: 20945532)","End Of File (LGR S/N: 20945532)"
1,01/17/24 12:15:00 PM,14.9796,81.442,Logged,,,,
2,01/17/24 12:30:00 PM,14.9699,80.559,,,,,
3,01/17/24 12:45:00 PM,14.9683,80.559,,,,,
4,01/17/24 01:00:00 PM,14.9605,80.559,,,,,
5,01/17/24 01:15:00 PM,14.9532,80.911,,,,,
6,01/17/24 01:30:00 PM,14.9440,81.090,,,,,
7,01/17/24 01:45:00 PM,14.9380,81.266,,,,,
8,01/17/24 02:00:00 PM,14.9277,80.911,,,,,
9,01/17/24 02:15:00 PM,14.9226,80.735,,,,,
10,01/17/24 02:30:00 PM,14.9158,80.559,,,,,
11,01/17/24 02:45:00 PM,14.9163,80.735,,,,,
12,01/17/24 03:00:00 PM,14.9102,80.911,,,,,
13,01/17/24 03:15:00 PM,14.8994,81.090,,,,,
14,01/17/24 03:30:00 PM,14.8978,81.090,,,,,
15,01/17/24 03:45:00 PM,14.8912,80.911,,,,,
16,01/17/24 04:00:00 PM,14.8875,80.735,,,,,
17,01/17/24 04:15:00 PM,14.8828,80.735,,,,,
18,01/17/24 04:30:00 PM,14.8761,80.559,,,,,
19,01/17/24 04:45:00 PM,14.8761,80.559,,,,,
20,01/17/24 05:00:00 PM,14.8774,80.382,,,,,
21,01/17/24 05:15:00 PM,14.8758,80.382,,,,,
22,01/17/24 05:30:00 PM,14.8770,80.206,,,,,
23,01/17/24 05:45:00 PM,14.8687,80.029,,,,,
24,01/17/24 06:00:00 PM,14.8735,80.029,,,,,
25,01/17/24 06:15:00 PM,14.8719,80.029,,,,,
26,01/17/24 06:30:00 PM,14.8732,79.853,,,,,
27,01/17/24 06:45:00 PM,14.8762,79.853,,,,,
28,01/17/24 07:00:00 PM,14.8727,79.678,,,,,
29,01/17/24 07:15:00 PM,14.8743,79.678,,,,,
30,01/17/24 07:30:00 PM,14.8759,79.678,,,,,
31,01/17/24 07:45:00 PM,14.8759,79.678,,,,,
32,01/17/24 08:00:00 PM,14.8709,79.502,,,,,
33,01/17/24 08:15:00 PM,14.8709,79.502,,,,,
34,01/17/24 08:30:00 PM,14.8709,79.502,,,,,
35,01/17/24 08:45:00 PM,14.8693,79.502,,,,,
36,01/17/24 09:00:00 PM,14.8720,79.326,,,,,
