Plot Title: 4.1.2 Fagaalu 5.15.2024,,,,,,,,
#,"Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20945532, SEN S/N: 20945532)","Temp, °F (LGR S/N: 20945532, SEN S/N: 20945532)",Coupler Detached (LGR S/N: 20945532),Coupler Attached (LGR S/N: 20945532),Host Connected (LGR S/N: 20945532),Stopped (LGR S/N: 20945532),End Of File (LGR S/N: 20945532)
1,5/15/2024 9:30,14.8907,80.735,Logged,,,,
2,5/15/2024 9:45,14.8916,80.382,,,,,
3,5/15/2024 10:00,14.8916,80.382,,,,,
4,5/15/2024 10:15,14.8838,80.382,,,,,
5,5/15/2024 10:30,14.8806,80.382,,,,,
6,5/15/2024 10:45,14.8761,80.559,,,,,
7,5/15/2024 11:00,14.8733,80.735,,,,,
8,5/15/2024 11:15,14.8697,80.559,,,,,
9,5/15/2024 11:30,14.8649,80.559,,,,,
10,5/15/2024 11:45,14.8587,80.559,,,,,
11,5/15/2024 12:00,14.8542,80.735,,,,,
12,5/15/2024 12:15,14.851,80.735,,,,,
13,5/15/2024 12:30,14.853,80.911,,,,,
14,5/15/2024 12:45,14.8469,81.09,,,,,
15,5/15/2024 13:00,14.8421,81.09,,,,,
16,5/15/2024 13:15,14.8442,81.266,,,,,
17,5/15/2024 13:30,14.8381,81.442,,,,,
18,5/15/2024 13:45,14.8314,81.266,,,,,
19,5/15/2024 14:00,14.8294,81.09,,,,,
20,5/15/2024 14:15,14.8247,81.09,,,,,
21,5/15/2024 14:30,14.8234,81.266,,,,,
22,5/15/2024 14:45,14.8187,81.266,,,,,
23,5/15/2024 15:00,14.8139,81.266,,,,,
24,5/15/2024 15:15,14.8139,81.266,,,,,
25,5/15/2024 15:30,14.8104,81.09,,,,,
26,5/15/2024 15:45,14.8099,80.911,,,,,
27,5/15/2024 16:00,14.8065,80.735,,,,,
28,5/15/2024 16:15,14.8049,80.735,,,,,
29,5/15/2024 16:30,14.8078,80.559,,,,,
30,5/15/2024 16:45,14.8089,80.382,,,,,
31,5/15/2024 17:00,14.8089,80.382,,,,,
32,5/15/2024 17:15,14.8089,80.382,,,,,
33,5/15/2024 17:30,14.8134,80.206,,,,,
34,5/15/2024 17:45,14.8134,80.206,,,,,
35,5/15/2024 18:00,14.8182,80.206,,,,,
36,5/15/2024 18:15,14.815,80.206,,,,,
37,5/15/2024 18:30,14.8194,80.029,,,,,
38,5/15/2024 18:45,14.821,80.029,,,,,
39,5/15/2024 19:00,14.8258,80.029,,,,,
40,5/15/2024 19:15,14.8274,80.029,,,,,
