Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/15/2023,14:45,14.8075,80.029,Logged,,,,
12/15/2023,15:00,14.8047,79.853,,,,,
12/15/2023,15:15,14.8091,79.678,,,,,
12/15/2023,15:30,14.8304,79.678,,,,,
12/15/2023,15:45,14.8922,79.678,,,,,
12/15/2023,16:00,14.9396,79.678,,,,,
12/15/2023,16:15,14.944,79.502,,,,,
12/15/2023,16:30,14.9345,79.502,,,,,
12/15/2023,16:45,14.9174,79.326,,,,,
12/15/2023,17:00,14.9123,79.151,,,,,
12/15/2023,17:15,14.9052,79.151,,,,,
12/15/2023,17:30,14.9005,79.151,,,,,
12/15/2023,17:45,14.9005,79.151,,,,,
12/15/2023,18:00,14.8977,78.975,,,,,
12/15/2023,18:15,14.9,78.975,,,,,
12/15/2023,18:30,14.8977,78.975,,,,,
12/15/2023,18:45,14.8977,78.975,,,,,
12/15/2023,19:00,14.8977,78.975,,,,,
12/15/2023,19:15,14.8973,78.8,,,,,
12/15/2023,19:30,14.8996,78.8,,,,,
12/15/2023,19:45,14.8996,78.8,,,,,
12/15/2023,20:00,14.8973,78.8,,,,,
12/15/2023,20:15,14.8973,78.8,,,,,
12/15/2023,20:30,14.8948,78.8,,,,,
12/15/2023,20:45,14.8945,78.624,,,,,
12/15/2023,21:00,14.8897,78.624,,,,,
12/15/2023,21:15,14.8873,78.624,,,,,
12/15/2023,21:30,14.8897,78.624,,,,,
12/15/2023,21:45,14.8897,78.624,,,,,
12/15/2023,22:00,14.9444,78.624,,,,,
12/15/2023,22:15,14.9728,78.624,,,,,
12/15/2023,22:30,14.9918,78.624,,,,,
12/15/2023,22:45,14.9776,78.624,,,,,
12/15/2023,23:00,14.9772,78.449,,,,,
12/15/2023,23:15,14.9701,78.449,,,,,
12/15/2023,23:30,14.9677,78.449,,,,,
12/15/2023,23:45,14.9605,78.449,,,,,
12/16/2023,0:00,14.9582,78.449,,,,,
12/16/2023,0:15,14.9511,78.449,,,,,
12/16/2023,0:30,14.982,78.449,,,,,
12/16/2023,0:45,15.0247,78.449,,,,,
12/16/2023,1:00,15.196,78.449,,,,,
12/16/2023,1:15,15.4195,78.274,,,,,
12/16/2023,1:30,15.8178,78.098,,,,,
12/16/2023,1:45,16.2552,77.749,,,,,
12/16/2023,2:00,16.2951,77.4,,,,,
12/16/2023,2:15,16.218,77.225,,,,,
12/16/2023,2:30,16.0354,77.05,,,,,
12/16/2023,2:45,15.9134,77.05,,,,,
12/16/2023,3:00,16.0067,77.05,,,,,
12/16/2023,3:15,15.8938,76.876,,,,,
12/16/2023,3:30,15.889,76.876,,,,,
12/16/2023,3:45,15.8507,76.876,,,,,
12/16/2023,4:00,15.8049,76.703,,,,,
12/16/2023,4:15,15.7647,76.876,,,,,
12/16/2023,4:30,15.7431,76.876,,,,,
12/16/2023,4:45,15.7025,76.876,,,,,
12/16/2023,5:00,15.6858,76.876,,,,,
12/16/2023,5:15,15.6835,76.876,,,,,
12/16/2023,5:30,15.6575,77.05,,,,,
12/16/2023,5:45,15.6285,76.876,,,,,
12/16/2023,6:00,15.6166,76.876,,,,,
12/16/2023,6:15,15.6071,76.876,,,,,
12/16/2023,6:30,15.5879,76.876,,,,,
12/16/2023,6:45,15.5665,76.876,,,,,
12/16/2023,7:00,15.5375,76.703,,,,,
12/16/2023,7:15,15.5208,76.703,,,,,
12/16/2023,7:30,15.5164,76.876,,,,,
12/16/2023,7:45,15.5044,76.876,,,,,
12/16/2023,8:00,15.4858,77.05,,,,,
12/16/2023,8:15,15.4644,77.05,,,,,
12/16/2023,8:30,15.4552,77.225,,,,,
12/16/2023,8:45,15.4484,77.4,,,,,
12/16/2023,9:00,15.4342,77.4,,,,,
12/16/2023,9:15,15.4223,77.4,,,,,
12/16/2023,9:30,15.4178,77.574,,,,,
12/16/2023,9:45,15.4059,77.574,,,,,
12/16/2023,10:00,15.3873,77.749,,,,,
12/16/2023,10:15,15.3778,77.749,,,,,
12/16/2023,10:30,15.373,77.749,,,,,
12/16/2023,10:45,15.3567,77.923,,,,,
12/16/2023,11:00,15.352,77.923,,,,,
12/16/2023,11:15,15.3405,78.098,,,,,
12/16/2023,11:30,15.3309,78.098,,,,,
12/16/2023,11:45,15.3238,78.098,,,,,
12/16/2023,12:00,15.3124,78.274,,,,,
12/16/2023,12:15,15.3032,78.449,,,,,
12/16/2023,12:30,15.2989,78.624,,,,,
12/16/2023,12:45,15.2916,78.624,,,,,
12/16/2023,13:00,15.287,78.624,,,,,
12/16/2023,13:15,15.2797,78.624,,,,,
12/16/2023,13:30,15.2703,78.624,,,,,
12/16/2023,13:45,15.2607,78.624,,,,,
12/16/2023,14:00,15.263,78.624,,,,,
12/16/2023,14:15,15.2512,78.624,,,,,
12/16/2023,14:30,15.2512,78.624,,,,,
12/16/2023,14:45,15.244,78.624,,,,,
12/16/2023,15:00,15.2445,78.8,,,,,
12/16/2023,15:15,15.2349,78.8,,,,,
12/16/2023,15:30,15.233,78.975,,,,,
12/16/2023,15:45,15.2282,78.975,,,,,
12/16/2023,16:00,15.2258,78.975,,,,,
12/16/2023,16:15,15.2187,78.975,,,,,
12/16/2023,16:30,15.2134,78.8,,,,,
12/16/2023,16:45,15.2132,78.624,,,,,
12/16/2023,17:00,15.2132,78.624,,,,,
12/16/2023,17:15,15.2079,78.449,,,,,
12/16/2023,17:30,15.2056,78.449,,,,,
12/16/2023,17:45,15.2031,78.449,,,,,
12/16/2023,18:00,15.2004,78.274,,,,,
12/16/2023,18:15,15.2004,78.274,,,,,
12/16/2023,18:30,15.1979,78.274,,,,,
12/16/2023,18:45,15.1976,78.098,,,,,
12/16/2023,19:00,15.1976,78.098,,,,,
12/16/2023,19:15,15.1928,78.098,,,,,
12/16/2023,19:30,15.1928,78.098,,,,,
12/16/2023,19:45,15.1928,78.098,,,,,
12/16/2023,20:00,15.1881,78.098,,,,,
12/16/2023,20:15,15.1904,78.098,,,,,
12/16/2023,20:30,15.1857,78.098,,,,,
12/16/2023,20:45,15.1857,78.098,,,,,
12/16/2023,21:00,15.181,78.098,,,,,
12/16/2023,21:15,15.181,78.098,,,,,
12/16/2023,21:30,15.1785,78.098,,,,,
12/16/2023,21:45,15.1738,78.098,,,,,
12/16/2023,22:00,15.1691,78.098,,,,,
12/16/2023,22:15,15.1691,78.098,,,,,
12/16/2023,22:30,15.1695,78.274,,,,,
12/16/2023,22:45,15.1647,78.274,,,,,
12/16/2023,23:00,15.1599,78.274,,,,,
12/16/2023,23:15,15.1572,78.098,,,,,
12/16/2023,23:30,15.1524,78.098,,,,,
12/16/2023,23:45,15.1476,78.098,,,,,
12/17/2023,0:00,15.1405,78.098,,,,,
12/17/2023,0:15,15.1357,78.098,,,,,
12/17/2023,0:30,15.1309,78.098,,,,,
12/17/2023,0:45,15.129,78.274,,,,,
12/17/2023,1:00,15.1242,78.274,,,,,
12/17/2023,1:15,15.1218,78.274,,,,,
12/17/2023,1:30,15.1171,78.274,,,,,
12/17/2023,1:45,15.1147,78.274,,,,,
12/17/2023,2:00,15.1124,78.274,,,,,
12/17/2023,2:15,15.1124,78.274,,,,,
12/17/2023,2:30,15.1052,78.274,,,,,
12/17/2023,2:45,15.1076,78.274,,,,,
12/17/2023,3:00,15.1005,78.274,,,,,
12/17/2023,3:15,15.0957,78.274,,,,,
12/17/2023,3:30,15.0957,78.274,,,,,
12/17/2023,3:45,15.0957,78.274,,,,,
12/17/2023,4:00,15.0957,78.274,,,,,
12/17/2023,4:15,15.1005,78.274,,,,,
12/17/2023,4:30,15.0957,78.274,,,,,
12/17/2023,4:45,15.098,78.274,,,,,
12/17/2023,5:00,15.098,78.274,,,,,
12/17/2023,5:15,15.1005,78.274,,,,,
12/17/2023,5:30,15.1195,78.274,,,,,
12/17/2023,5:45,15.1741,78.274,,,,,
12/17/2023,6:00,15.1979,78.274,,,,,
12/17/2023,6:15,15.2219,78.274,,,,,
12/17/2023,6:30,15.2052,78.274,,,,,
12/17/2023,6:45,15.1928,78.098,,,,,
12/17/2023,7:00,15.181,78.098,,,,,
12/17/2023,7:15,15.1762,78.098,,,,,
12/17/2023,7:30,15.1714,78.098,,,,,
12/17/2023,7:45,15.1714,78.098,,,,,
12/17/2023,8:00,15.1691,78.098,,,,,
12/17/2023,8:15,15.1622,78.274,,,,,
12/17/2023,8:30,15.1622,78.274,,,,,
12/17/2023,8:45,15.1575,78.274,,,,,
12/17/2023,9:00,15.1551,78.274,,,,,
12/17/2023,9:15,15.1485,78.449,,,,,
12/17/2023,9:30,15.1485,78.449,,,,,
12/17/2023,9:45,15.146,78.449,,,,,
12/17/2023,10:00,15.146,78.449,,,,,
12/17/2023,10:15,15.1464,78.624,,,,,
12/17/2023,10:30,15.1393,78.624,,,,,
12/17/2023,10:45,15.137,78.624,,,,,
12/17/2023,11:00,15.1329,78.975,,,,,
12/17/2023,11:15,15.1306,78.975,,,,,
12/17/2023,11:30,15.1306,78.975,,,,,
12/17/2023,11:45,15.1425,78.975,,,,,
12/17/2023,12:00,15.1329,78.975,,,,,
12/17/2023,12:15,15.1258,78.975,,,,,
12/17/2023,12:30,15.1211,78.975,,,,,
12/17/2023,12:45,15.116,78.8,,,,,
12/17/2023,13:00,15.116,78.8,,,,,
12/17/2023,13:15,15.1135,78.8,,,,,
12/17/2023,13:30,15.1135,78.8,,,,,
12/17/2023,13:45,15.1089,78.8,,,,,
12/17/2023,14:00,15.1064,78.8,,,,,
12/17/2023,14:15,15.1016,78.8,,,,,
12/17/2023,14:30,15.0993,78.8,,,,,
12/17/2023,14:45,15.0945,78.8,,,,,
12/17/2023,15:00,15.0922,78.8,,,,,
12/17/2023,15:15,15.0893,78.624,,,,,
12/17/2023,15:30,15.0918,78.624,,,,,
12/17/2023,15:45,15.0941,78.624,,,,,
12/17/2023,16:00,15.0941,78.624,,,,,
12/17/2023,16:15,15.0965,78.624,,,,,
12/17/2023,16:30,15.0989,78.624,,,,,
12/17/2023,16:45,15.0941,78.624,,,,,
12/17/2023,17:00,15.0965,78.624,,,,,
12/17/2023,17:15,15.0965,78.624,,,,,
12/17/2023,17:30,15.0989,78.624,,,,,
12/17/2023,17:45,15.0961,78.449,,,,,
12/17/2023,18:00,15.0984,78.449,,,,,
12/17/2023,18:15,15.1009,78.449,,,,,
12/17/2023,18:30,15.1028,78.274,,,,,
12/17/2023,18:45,15.1099,78.274,,,,,
12/17/2023,19:00,15.1124,78.274,,,,,
12/17/2023,19:15,15.1124,78.274,,,,,
12/17/2023,19:30,15.1124,78.274,,,,,
12/17/2023,19:45,15.1147,78.274,,,,,
12/17/2023,20:00,15.1124,78.274,,,,,
12/17/2023,20:15,15.1147,78.274,,,,,
12/17/2023,20:30,15.1171,78.274,,,,,
12/17/2023,20:45,15.1195,78.274,,,,,
12/17/2023,21:00,15.1171,78.274,,,,,
12/17/2023,21:15,15.119,78.098,,,,,
12/17/2023,21:30,15.119,78.098,,,,,
12/17/2023,21:45,15.1167,78.098,,,,,
12/17/2023,22:00,15.1142,78.098,,,,,
12/17/2023,22:15,15.1142,78.098,,,,,
12/17/2023,22:30,15.1096,78.098,,,,,
12/17/2023,22:45,15.1044,77.923,,,,,
12/17/2023,23:00,15.1067,77.923,,,,,
12/17/2023,23:15,15.1044,77.923,,,,,
12/17/2023,23:30,15.1021,77.923,,,,,
12/17/2023,23:45,15.0996,77.923,,,,,
12/18/2023,0:00,15.0973,77.923,,,,,
12/18/2023,0:15,15.0925,77.923,,,,,
12/18/2023,0:30,15.0854,77.923,,,,,
12/18/2023,0:45,15.0806,77.923,,,,,
12/18/2023,1:00,15.0783,77.923,,,,,
12/18/2023,1:15,15.0758,77.923,,,,,
12/18/2023,1:30,15.071,77.923,,,,,
12/18/2023,1:45,15.0664,77.923,,,,,
12/18/2023,2:00,15.0639,77.923,,,,,
12/18/2023,2:15,15.0591,77.923,,,,,
12/18/2023,2:30,15.0616,77.923,,,,,
12/18/2023,2:45,15.0568,77.923,,,,,
12/18/2023,3:00,15.0568,77.923,,,,,
12/18/2023,3:15,15.0545,77.923,,,,,
12/18/2023,3:30,15.0545,77.923,,,,,
12/18/2023,3:45,15.0545,77.923,,,,,
12/18/2023,4:00,15.0545,77.923,,,,,
12/18/2023,4:15,15.0568,77.923,,,,,
12/18/2023,4:30,15.0568,77.923,,,,,
12/18/2023,4:45,15.0591,77.923,,,,,
12/18/2023,5:00,15.0616,77.923,,,,,
12/18/2023,5:15,15.0616,77.923,,,,,
12/18/2023,5:30,15.0643,78.098,,,,,
12/18/2023,5:45,15.0643,78.098,,,,,
12/18/2023,6:00,15.0691,78.098,,,,,
12/18/2023,6:15,15.0715,78.098,,,,,
12/18/2023,6:30,15.0762,78.098,,,,,
12/18/2023,6:45,15.0762,78.098,,,,,
12/18/2023,7:00,15.0739,78.098,,,,,
12/18/2023,7:15,15.0739,78.098,,,,,
12/18/2023,7:30,15.0742,78.274,,,,,
12/18/2023,7:45,15.0742,78.274,,,,,
12/18/2023,8:00,15.0767,78.274,,,,,
12/18/2023,8:15,15.0742,78.274,,,,,
12/18/2023,8:30,15.0746,78.449,,,,,
12/18/2023,8:45,15.0723,78.449,,,,,
12/18/2023,9:00,15.0723,78.449,,,,,
12/18/2023,9:15,15.0751,78.624,,,,,
12/18/2023,9:30,15.068,78.624,,,,,
12/18/2023,9:45,15.0684,78.8,,,,,
12/18/2023,10:00,15.0684,78.8,,,,,
12/18/2023,10:15,15.0707,78.8,,,,,
12/18/2023,10:30,15.0684,78.8,,,,,
12/18/2023,10:45,15.0664,78.975,,,,,
12/18/2023,11:00,15.0616,78.975,,,,,
12/18/2023,11:15,15.062,79.151,,,,,
12/18/2023,11:30,15.0572,79.151,,,,,
12/18/2023,11:45,15.0549,79.151,,,,,
12/18/2023,12:00,15.0526,79.151,,,,,
12/18/2023,12:15,15.0482,79.326,,,,,
12/18/2023,12:30,15.0482,79.326,,,,,
12/18/2023,12:45,15.041,79.326,,,,,
12/18/2023,13:00,15.0414,79.502,,,,,
12/18/2023,13:15,15.0391,79.502,,,,,
12/18/2023,13:30,15.0391,79.502,,,,,
12/18/2023,13:45,15.0368,79.502,,,,,
12/18/2023,14:00,15.0368,79.502,,,,,
12/18/2023,14:15,15.0364,79.326,,,,,
12/18/2023,14:30,15.0339,79.326,,,,,
12/18/2023,14:45,15.0316,79.326,,,,,
12/18/2023,15:00,15.0316,79.326,,,,,
12/18/2023,15:15,15.0291,79.326,,,,,
12/18/2023,15:30,15.0291,79.326,,,,,
12/18/2023,15:45,15.0268,79.326,,,,,
12/18/2023,16:00,15.0291,79.326,,,,,
12/18/2023,16:15,15.0268,79.326,,,,,
12/18/2023,16:30,15.0268,79.326,,,,,
12/18/2023,16:45,15.0268,79.326,,,,,
12/18/2023,17:00,15.0268,79.326,,,,,
12/18/2023,17:15,15.0311,79.151,,,,,
12/18/2023,17:30,15.0288,79.151,,,,,
12/18/2023,17:45,15.0311,79.151,,,,,
12/18/2023,18:00,15.0311,79.151,,,,,
12/18/2023,18:15,15.0359,79.151,,,,,
12/18/2023,18:30,15.0355,78.975,,,,,
12/18/2023,18:45,15.0378,78.975,,,,,
12/18/2023,19:00,15.0403,78.975,,,,,
12/18/2023,19:15,15.0403,78.975,,,,,
12/18/2023,19:30,15.0426,78.975,,,,,
12/18/2023,19:45,15.0451,78.975,,,,,
12/18/2023,20:00,15.0451,78.975,,,,,
12/18/2023,20:15,15.0474,78.975,,,,,
12/18/2023,20:30,15.0522,78.975,,,,,
12/18/2023,20:45,15.0522,78.975,,,,,
12/18/2023,21:00,15.0545,78.975,,,,,
12/18/2023,21:15,15.054,78.8,,,,,
12/18/2023,21:30,15.054,78.8,,,,,
12/18/2023,21:45,15.054,78.8,,,,,
12/18/2023,22:00,15.054,78.8,,,,,
12/18/2023,22:15,15.0565,78.8,,,,,
12/18/2023,22:30,15.054,78.8,,,,,
12/18/2023,22:45,15.0517,78.8,,,,,
12/18/2023,23:00,15.0494,78.8,,,,,
12/18/2023,23:15,15.054,78.8,,,,,
12/18/2023,23:30,15.0588,78.8,,,,,
12/18/2023,23:45,15.054,78.8,,,,,
12/19/2023,0:00,15.0494,78.8,,,,,
12/19/2023,0:15,15.0446,78.8,,,,,
12/19/2023,0:30,15.0398,78.8,,,,,
12/19/2023,0:45,15.0398,78.8,,,,,
12/19/2023,1:00,15.0398,78.8,,,,,
12/19/2023,1:15,15.0398,78.8,,,,,
12/19/2023,1:30,15.035,78.8,,,,,
12/19/2023,1:45,15.035,78.8,,,,,
12/19/2023,2:00,15.035,78.8,,,,,
12/19/2023,2:15,15.0323,78.624,,,,,
12/19/2023,2:30,15.0275,78.624,,,,,
12/19/2023,2:45,15.0227,78.624,,,,,
12/19/2023,3:00,15.0204,78.624,,,,,
12/19/2023,3:15,15.0204,78.624,,,,,
12/19/2023,3:30,15.0181,78.624,,,,,
12/19/2023,3:45,15.0204,78.624,,,,,
12/19/2023,4:00,15.0204,78.624,,,,,
12/19/2023,4:15,15.0536,78.624,,,,,
12/19/2023,4:30,15.0655,78.624,,,,,
12/19/2023,4:45,15.0846,78.624,,,,,
12/19/2023,5:00,15.0799,78.624,,,,,
12/19/2023,5:15,15.0703,78.624,,,,,
12/19/2023,5:30,15.0699,78.449,,,,,
12/19/2023,5:45,15.0699,78.449,,,,,
12/19/2023,6:00,15.0699,78.449,,,,,
12/19/2023,6:15,15.0675,78.449,,,,,
12/19/2023,6:30,15.0723,78.449,,,,,
12/19/2023,6:45,15.0699,78.449,,,,,
12/19/2023,7:00,15.0723,78.449,,,,,
12/19/2023,7:15,15.0699,78.449,,,,,
12/19/2023,7:30,15.0699,78.449,,,,,
12/19/2023,7:45,15.0723,78.449,,,,,
12/19/2023,8:00,15.0723,78.449,,,,,
12/19/2023,8:15,15.0699,78.449,,,,,
12/19/2023,8:30,15.068,78.624,,,,,
12/19/2023,8:45,15.0655,78.624,,,,,
12/19/2023,9:00,15.0655,78.624,,,,,
12/19/2023,9:15,15.0636,78.8,,,,,
12/19/2023,9:30,15.0636,78.8,,,,,
12/19/2023,9:45,15.0641,78.975,,,,,
12/19/2023,10:00,15.0597,79.151,,,,,
12/19/2023,10:15,15.0572,79.151,,,,,
12/19/2023,10:30,15.0529,79.326,,,,,
12/19/2023,10:45,15.0558,79.502,,,,,
12/19/2023,11:00,15.0485,79.502,,,,,
12/19/2023,11:15,15.049,79.678,,,,,
12/19/2023,11:30,15.0471,79.853,,,,,
12/19/2023,11:45,15.0427,80.029,,,,,
12/19/2023,12:00,15.0407,80.206,,,,,
12/19/2023,12:15,15.0388,80.382,,,,,
12/19/2023,12:30,15.0368,80.559,,,,,
12/19/2023,12:45,15.0324,80.735,,,,,
12/19/2023,13:00,15.0306,80.911,,,,,
12/19/2023,13:15,15.031,81.09,,,,,
12/19/2023,13:30,15.0285,81.09,,,,,
12/19/2023,13:45,15.0285,81.09,,,,,
12/19/2023,14:00,15.0285,81.09,,,,,
12/19/2023,14:15,15.0239,81.09,,,,,
12/19/2023,14:30,15.0214,81.09,,,,,
12/19/2023,14:45,15.0218,81.266,,,,,
12/19/2023,15:00,15.0195,81.266,,,,,
12/19/2023,15:15,15.0171,81.266,,,,,
12/19/2023,15:30,15.0171,81.266,,,,,
12/19/2023,15:45,15.0171,81.266,,,,,
12/19/2023,16:00,15.0214,81.09,,,,,
12/19/2023,16:15,15.0191,81.09,,,,,
12/19/2023,16:30,15.0187,80.911,,,,,
12/19/2023,16:45,15.0162,80.911,,,,,
12/19/2023,17:00,15.0205,80.735,,,,,
12/19/2023,17:15,15.023,80.735,,,,,
12/19/2023,17:30,15.0226,80.559,,,,,
12/19/2023,17:45,15.0221,80.382,,,,,
12/19/2023,18:00,15.0292,80.382,,,,,
12/19/2023,18:15,15.0313,80.206,,,,,
12/19/2023,18:30,15.0336,80.206,,,,,
12/19/2023,18:45,15.0332,80.029,,,,,
12/19/2023,19:00,15.0332,80.029,,,,,
12/19/2023,19:15,15.0327,79.853,,,,,
12/19/2023,19:30,15.0375,79.853,,,,,
12/19/2023,19:45,15.0395,79.678,,,,,
12/19/2023,20:00,15.0419,79.678,,,,,
12/19/2023,20:15,15.0419,79.678,,,,,
12/19/2023,20:30,15.0414,79.502,,,,,
12/19/2023,20:45,15.0391,79.502,,,,,
12/19/2023,21:00,15.0439,79.502,,,,,
12/19/2023,21:15,15.0485,79.502,,,,,
12/19/2023,21:30,15.0458,79.326,,,,,
12/19/2023,21:45,15.0482,79.326,,,,,
12/19/2023,22:00,15.0506,79.326,,,,,
12/19/2023,22:15,15.0554,79.326,,,,,
12/19/2023,22:30,15.0526,79.151,,,,,
12/19/2023,22:45,15.0549,79.151,,,,,
12/19/2023,23:00,15.0526,79.151,,,,,
12/19/2023,23:15,15.0549,79.151,,,,,
12/19/2023,23:30,15.0526,79.151,,,,,
12/19/2023,23:45,15.0526,79.151,,,,,
12/20/2023,0:00,15.0501,79.151,,,,,
12/20/2023,0:15,15.0501,79.151,,,,,
12/20/2023,0:30,15.0474,78.975,,,,,
12/20/2023,0:45,15.0426,78.975,,,,,
12/20/2023,1:00,15.0403,78.975,,,,,
12/20/2023,1:15,15.0403,78.975,,,,,
12/20/2023,1:30,15.0378,78.975,,,,,
12/20/2023,1:45,15.0332,78.975,,,,,
12/20/2023,2:00,15.0307,78.975,,,,,
12/20/2023,2:15,15.0259,78.975,,,,,
12/20/2023,2:30,15.0236,78.975,,,,,
12/20/2023,2:45,15.0213,78.975,,,,,
12/20/2023,3:00,15.0213,78.975,,,,,
12/20/2023,3:15,15.0188,78.975,,,,,
12/20/2023,3:30,15.0188,78.975,,,,,
12/20/2023,3:45,15.0188,78.975,,,,,
12/20/2023,4:00,15.0188,78.975,,,,,
12/20/2023,4:15,15.0188,78.975,,,,,
12/20/2023,4:30,15.0236,78.975,,,,,
12/20/2023,4:45,15.0256,78.8,,,,,
12/20/2023,5:00,15.0279,78.8,,,,,
12/20/2023,5:15,15.0303,78.8,,,,,
12/20/2023,5:30,15.0327,78.8,,,,,
12/20/2023,5:45,15.0303,78.8,,,,,
12/20/2023,6:00,15.0327,78.8,,,,,
12/20/2023,6:15,15.0279,78.8,,,,,
12/20/2023,6:30,15.035,78.8,,,,,
12/20/2023,6:45,15.0375,78.8,,,,,
12/20/2023,7:00,15.0398,78.8,,,,,
12/20/2023,7:15,15.0398,78.8,,,,,
12/20/2023,7:30,15.0422,78.8,,,,,
12/20/2023,7:45,15.0451,78.975,,,,,
12/20/2023,8:00,15.0451,78.975,,,,,
12/20/2023,8:15,15.0451,78.975,,,,,
12/20/2023,8:30,15.0474,78.975,,,,,
12/20/2023,8:45,15.0478,79.151,,,,,
12/20/2023,9:00,15.0453,79.151,,,,,
12/20/2023,9:15,15.0458,79.326,,,,,
12/20/2023,9:30,15.0482,79.326,,,,,
12/20/2023,9:45,15.0482,79.326,,,,,
12/20/2023,10:00,15.0506,79.326,,,,,
12/20/2023,10:15,15.051,79.502,,,,,
12/20/2023,10:30,15.051,79.502,,,,,
12/20/2023,10:45,15.0533,79.502,,,,,
12/20/2023,11:00,15.0514,79.678,,,,,
12/20/2023,11:15,15.0585,79.678,,,,,
12/20/2023,11:30,15.0514,79.678,,,,,
12/20/2023,11:45,15.0443,79.678,,,,,
12/20/2023,12:00,15.0352,79.853,,,,,
12/20/2023,12:15,15.0332,80.029,,,,,
12/20/2023,12:30,15.0308,80.029,,,,,
12/20/2023,12:45,15.0288,80.206,,,,,
12/20/2023,13:00,15.0245,80.382,,,,,
12/20/2023,13:15,15.0245,80.382,,,,,
12/20/2023,13:30,15.0203,80.559,,,,,
12/20/2023,13:45,15.0203,80.559,,,,,
12/20/2023,14:00,15.0178,80.559,,,,,
12/20/2023,14:15,15.0155,80.559,,,,,
12/20/2023,14:30,15.013,80.559,,,,,
12/20/2023,14:45,15.013,80.559,,,,,
12/20/2023,15:00,15.0107,80.559,,,,,
12/20/2023,15:15,15.0084,80.559,,,,,
12/20/2023,15:30,15.0084,80.559,,,,,
12/20/2023,15:45,15.0107,80.559,,,,,
12/20/2023,16:00,15.0079,80.382,,,,,
12/20/2023,16:15,15.0079,80.382,,,,,
12/20/2023,16:30,15.0079,80.382,,,,,
