"Plot Title: 4.1.4_Leone_2.15.2023"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20945531, SEN S/N: 20945531)","Temp, °F (LGR S/N: 20945531, SEN S/N: 20945531)","Coupler Detached (LGR S/N: 20945531)","Coupler Attached (LGR S/N: 20945531)","Host Connected (LGR S/N: 20945531)","Stopped (LGR S/N: 20945531)","End Of File (LGR S/N: 20945531)"
1,02/15/23 03:45:00 PM,15.6470,80.559,Logged,,,,
2,02/15/23 04:00:00 PM,15.6459,80.206,,,,,
3,02/15/23 04:15:00 PM,15.6441,80.029,,,,,
4,02/15/23 04:30:00 PM,15.6445,79.678,,,,,
5,02/15/23 04:45:00 PM,15.6439,79.502,,,,,
6,02/15/23 05:00:00 PM,15.6448,79.326,,,,,
7,02/15/23 05:15:00 PM,15.6457,79.151,,,,,
8,02/15/23 05:30:00 PM,15.6457,79.151,,,,,
9,02/15/23 05:45:00 PM,15.6480,78.975,,,,,
10,02/15/23 06:00:00 PM,15.6493,78.975,,,,,
11,02/15/23 06:15:00 PM,15.6529,78.800,,,,,
12,02/15/23 06:30:00 PM,15.6557,78.800,,,,,
13,02/15/23 06:45:00 PM,15.6578,78.624,,,,,
14,02/15/23 07:00:00 PM,15.6593,78.624,,,,,
15,02/15/23 07:15:00 PM,15.6602,78.449,,,,,
16,02/15/23 07:30:00 PM,15.6629,78.449,,,,,
17,02/15/23 07:45:00 PM,15.6651,78.274,,,,,
18,02/15/23 08:00:00 PM,15.6638,78.274,,,,,
19,02/15/23 08:15:00 PM,15.6660,78.098,,,,,
20,02/15/23 08:30:00 PM,15.6687,78.098,,,,,
21,02/15/23 08:45:00 PM,15.6736,77.923,,,,,
22,02/15/23 09:00:00 PM,15.6751,77.923,,,,,
23,02/15/23 09:15:00 PM,15.6773,77.749,,,,,
24,02/15/23 09:30:00 PM,15.6800,77.749,,,,,
25,02/15/23 09:45:00 PM,15.6796,77.574,,,,,
26,02/15/23 10:00:00 PM,15.6824,77.574,,,,,
27,02/15/23 10:15:00 PM,15.6845,77.400,,,,,
28,02/15/23 10:30:00 PM,15.6858,77.400,,,,,
29,02/15/23 10:45:00 PM,15.6841,77.225,,,,,
30,02/15/23 11:00:00 PM,15.6826,77.225,,,,,
31,02/15/23 11:15:00 PM,15.6799,77.225,,,,,
32,02/15/23 11:30:00 PM,15.6794,77.050,,,,,
33,02/15/23 11:45:00 PM,15.6754,77.050,,,,,
34,02/16/23 12:00:00 AM,15.6707,76.876,,,,,
35,02/16/23 12:15:00 AM,15.6721,76.876,,,,,
36,02/16/23 12:30:00 AM,15.6693,76.876,,,,,
37,02/16/23 12:45:00 AM,15.6689,76.703,,,,,
38,02/16/23 01:00:00 AM,15.6648,76.703,,,,,
39,02/16/23 01:15:00 AM,15.6606,76.703,,,,,
40,02/16/23 01:30:00 AM,15.6593,76.703,,,,,
41,02/16/23 01:45:00 AM,15.6546,76.528,,,,,
42,02/16/23 02:00:00 AM,15.6533,76.528,,,,,
43,02/16/23 02:15:00 AM,15.6493,76.528,,,,,
44,02/16/23 02:30:00 AM,15.6478,76.528,,,,,
45,02/16/23 02:45:00 AM,15.6459,76.354,,,,,
46,02/16/23 03:00:00 AM,15.6432,76.354,,,,,
47,02/16/23 03:15:00 AM,15.6419,76.354,,,,,
48,02/16/23 03:30:00 AM,15.6404,76.354,,,,,
49,02/16/23 03:45:00 AM,15.6400,76.181,,,,,
50,02/16/23 04:00:00 AM,15.6414,76.181,,,,,
51,02/16/23 04:15:00 AM,15.6428,76.181,,,,,
52,02/16/23 04:30:00 AM,15.6428,76.181,,,,,
53,02/16/23 04:45:00 AM,15.6441,76.181,,,,,
54,02/16/23 05:00:00 AM,15.6468,76.181,,,,,
55,02/16/23 05:15:00 AM,15.6477,76.006,,,,,
56,02/16/23 05:30:00 AM,15.6491,76.006,,,,,
57,02/16/23 05:45:00 AM,15.6477,76.006,,,,,
58,02/16/23 06:00:00 AM,15.6504,76.006,,,,,
59,02/16/23 06:15:00 AM,15.6532,76.006,,,,,
60,02/16/23 06:30:00 AM,15.6546,76.006,,,,,
61,02/16/23 06:45:00 AM,15.6560,76.006,,,,,
62,02/16/23 07:00:00 AM,15.6573,76.006,,,,,
63,02/16/23 07:15:00 AM,15.6615,76.006,,,,,
64,02/16/23 07:30:00 AM,15.6615,76.006,,,,,
65,02/16/23 07:45:00 AM,15.6615,76.006,,,,,
66,02/16/23 08:00:00 AM,15.6642,76.006,,,,,
67,02/16/23 08:15:00 AM,15.6628,76.006,,,,,
68,02/16/23 08:30:00 AM,15.6634,76.181,,,,,
69,02/16/23 08:45:00 AM,15.6625,76.354,,,,,
70,02/16/23 09:00:00 AM,15.6615,76.528,,,,,
71,02/16/23 09:15:00 AM,15.6620,76.703,,,,,
72,02/16/23 09:30:00 AM,15.6612,76.876,,,,,
73,02/16/23 09:45:00 AM,15.6631,77.050,,,,,
74,02/16/23 10:00:00 AM,15.6603,77.050,,,,,
75,02/16/23 10:15:00 AM,15.6589,77.050,,,,,
76,02/16/23 10:30:00 AM,15.6552,77.225,,,,,
77,02/16/23 10:45:00 AM,15.6558,77.400,,,,,
78,02/16/23 11:00:00 AM,15.6513,77.749,,,,,
79,02/16/23 11:15:00 AM,15.6504,77.923,,,,,
80,02/16/23 11:30:00 AM,15.6486,77.749,,,,,
81,02/16/23 11:45:00 AM,15.6473,77.749,,,,,
82,02/16/23 12:00:00 PM,15.6462,77.923,,,,,
83,02/16/23 12:15:00 PM,15.6436,77.923,,,,,
84,02/16/23 12:30:00 PM,15.6375,77.749,,,,,
85,02/16/23 12:45:00 PM,15.6349,78.274,,,,,
86,02/16/23 01:00:00 PM,15.6327,78.449,,,,,
87,02/16/23 01:15:00 PM,15.6322,78.274,,,,,
88,02/16/23 01:30:00 PM,15.6281,78.274,,,,,
89,02/16/23 01:45:00 PM,15.6259,78.449,,,,,
90,02/16/23 02:00:00 PM,15.6259,78.449,,,,,
91,02/16/23 02:15:00 PM,15.6245,78.449,,,,,
92,02/16/23 02:30:00 PM,15.6204,78.449,,,,,
93,02/16/23 02:45:00 PM,15.6204,78.449,,,,,
94,02/16/23 03:00:00 PM,15.6177,78.449,,,,,
95,02/16/23 03:15:00 PM,15.6155,78.624,,,,,
96,02/16/23 03:30:00 PM,15.6164,78.975,,,,,
97,02/16/23 03:45:00 PM,15.6159,78.800,,,,,
98,02/16/23 04:00:00 PM,15.6159,78.800,,,,,
99,02/16/23 04:15:00 PM,15.6168,78.624,,,,,
100,02/16/23 04:30:00 PM,15.6140,78.624,,,,,
101,02/16/23 04:45:00 PM,15.6168,78.624,,,,,
102,02/16/23 05:00:00 PM,15.6155,78.624,,,,,
103,02/16/23 05:15:00 PM,15.6140,78.624,,,,,
104,02/16/23 05:30:00 PM,15.6155,78.624,,,,,
105,02/16/23 05:45:00 PM,15.6177,78.449,,,,,
106,02/16/23 06:00:00 PM,15.6177,78.449,,,,,
107,02/16/23 06:15:00 PM,15.6204,78.449,,,,,
108,02/16/23 06:30:00 PM,15.6240,78.274,,,,,
109,02/16/23 06:45:00 PM,15.6296,78.274,,,,,
110,02/16/23 07:00:00 PM,15.6309,78.274,,,,,
111,02/16/23 07:15:00 PM,15.6349,78.274,,,,,
112,02/16/23 07:30:00 PM,15.6345,78.098,,,,,
113,02/16/23 07:45:00 PM,15.6358,78.098,,,,,
114,02/16/23 08:00:00 PM,15.6385,78.098,,,,,
115,02/16/23 08:15:00 PM,15.6428,78.098,,,,,
116,02/16/23 08:30:00 PM,15.6441,78.098,,,,,
117,02/16/23 08:45:00 PM,15.6449,77.923,,,,,
118,02/16/23 09:00:00 PM,15.6462,77.923,,,,,
119,02/16/23 09:15:00 PM,15.6477,77.923,,,,,
120,02/16/23 09:30:00 PM,15.6517,77.923,,,,,
121,02/16/23 09:45:00 PM,15.6513,77.749,,,,,
122,02/16/23 10:00:00 PM,15.6526,77.749,,,,,
123,02/16/23 10:15:00 PM,15.6513,77.749,,,,,
124,02/16/23 10:30:00 PM,15.6554,77.749,,,,,
125,02/16/23 10:45:00 PM,15.6549,77.574,,,,,
126,02/16/23 11:00:00 PM,15.6562,77.574,,,,,
127,02/16/23 11:15:00 PM,15.6549,77.574,,,,,
128,02/16/23 11:30:00 PM,15.6531,77.400,,,,,
129,02/16/23 11:45:00 PM,15.6544,77.400,,,,,
130,02/17/23 12:00:00 AM,15.6503,77.400,,,,,
131,02/17/23 12:15:00 AM,15.6457,77.225,,,,,
132,02/17/23 12:30:00 AM,15.6457,77.225,,,,,
133,02/17/23 12:45:00 AM,15.6416,77.225,,,,,
134,02/17/23 01:00:00 AM,15.6429,77.225,,,,,
135,02/17/23 01:15:00 AM,15.6375,77.225,,,,,
136,02/17/23 01:30:00 AM,15.6342,77.050,,,,,
137,02/17/23 01:45:00 AM,15.6329,77.050,,,,,
138,02/17/23 02:00:00 AM,15.6274,77.050,,,,,
139,02/17/23 02:15:00 AM,15.6274,77.050,,,,,
140,02/17/23 02:30:00 AM,15.6242,76.876,,,,,
141,02/17/23 02:45:00 AM,15.6227,76.876,,,,,
142,02/17/23 03:00:00 AM,15.6214,76.876,,,,,
143,02/17/23 03:15:00 AM,15.6174,76.876,,,,,
144,02/17/23 03:30:00 AM,15.6168,76.703,,,,,
145,02/17/23 03:45:00 AM,15.6168,76.703,,,,,
146,02/17/23 04:00:00 AM,15.6168,76.703,,,,,
147,02/17/23 04:15:00 AM,15.6168,76.703,,,,,
148,02/17/23 04:30:00 AM,15.6177,76.528,,,,,
149,02/17/23 04:45:00 AM,15.6191,76.528,,,,,
150,02/17/23 05:00:00 AM,15.6191,76.528,,,,,
151,02/17/23 05:15:00 AM,15.6191,76.528,,,,,
152,02/17/23 05:30:00 AM,15.6204,76.528,,,,,
153,02/17/23 05:45:00 AM,15.6240,76.354,,,,,
154,02/17/23 06:00:00 AM,15.6268,76.354,,,,,
155,02/17/23 06:15:00 AM,15.6296,76.354,,,,,
156,02/17/23 06:30:00 AM,15.6323,76.354,,,,,
157,02/17/23 06:45:00 AM,15.6351,76.354,,,,,
158,02/17/23 07:00:00 AM,15.6351,76.354,,,,,
159,02/17/23 07:15:00 AM,15.6391,76.354,,,,,
160,02/17/23 07:30:00 AM,15.6404,76.354,,,,,
161,02/17/23 07:45:00 AM,15.6432,76.354,,,,,
162,02/17/23 08:00:00 AM,15.6446,76.354,,,,,
163,02/17/23 08:15:00 AM,15.6474,76.354,,,,,
164,02/17/23 08:30:00 AM,15.6451,76.528,,,,,
165,02/17/23 08:45:00 AM,15.6465,76.528,,,,,
166,02/17/23 09:00:00 AM,15.6470,76.703,,,,,
167,02/17/23 09:15:00 AM,15.6457,76.703,,,,,
168,02/17/23 09:30:00 AM,15.6461,76.876,,,,,
169,02/17/23 09:45:00 AM,15.6452,77.050,,,,,
170,02/17/23 10:00:00 AM,15.6471,77.225,,,,,
171,02/17/23 10:15:00 AM,15.6444,77.225,,,,,
172,02/17/23 10:30:00 AM,15.6403,77.225,,,,,
173,02/17/23 10:45:00 AM,15.6375,77.225,,,,,
174,02/17/23 11:00:00 AM,15.6380,77.400,,,,,
175,02/17/23 11:15:00 AM,15.6371,77.574,,,,,
176,02/17/23 11:30:00 AM,15.6358,77.574,,,,,
177,02/17/23 11:45:00 AM,15.6343,77.574,,,,,
178,02/17/23 12:00:00 PM,15.6371,77.574,,,,,
179,02/17/23 12:15:00 PM,15.6307,77.749,,,,,
180,02/17/23 12:30:00 PM,15.6317,78.098,,,,,
181,02/17/23 12:45:00 PM,15.6290,78.098,,,,,
182,02/17/23 01:00:00 PM,15.6290,78.098,,,,,
183,02/17/23 01:15:00 PM,15.6254,78.274,,,,,
184,02/17/23 01:30:00 PM,15.6278,78.624,,,,,
185,02/17/23 01:45:00 PM,15.6261,78.975,,,,,
186,02/17/23 02:00:00 PM,15.6278,79.151,,,,,
187,02/17/23 02:15:00 PM,15.6252,79.151,,,,,
188,02/17/23 02:30:00 PM,15.6220,79.502,,,,,
189,02/17/23 02:45:00 PM,15.6198,79.678,,,,,
190,02/17/23 03:00:00 PM,15.6174,79.326,,,,,
191,02/17/23 03:15:00 PM,15.6155,79.151,,,,,
192,02/17/23 03:30:00 PM,15.6137,78.975,,,,,
193,02/17/23 03:45:00 PM,15.6137,78.975,,,,,
194,02/17/23 04:00:00 PM,15.6110,78.975,,,,,
195,02/17/23 04:15:00 PM,15.6091,78.800,,,,,
196,02/17/23 04:30:00 PM,15.6077,78.800,,,,,
197,02/17/23 04:45:00 PM,15.6085,78.624,,,,,
198,02/17/23 05:00:00 PM,15.6085,78.624,,,,,
199,02/17/23 05:15:00 PM,15.6127,78.624,,,,,
200,02/17/23 05:30:00 PM,15.6127,78.624,,,,,
201,02/17/23 05:45:00 PM,15.6140,78.624,,,,,
202,02/17/23 06:00:00 PM,15.6155,78.624,,,,,
203,02/17/23 06:15:00 PM,15.6190,78.449,,,,,
204,02/17/23 06:30:00 PM,15.6177,78.449,,,,,
205,02/17/23 06:45:00 PM,15.6232,78.449,,,,,
206,02/17/23 07:00:00 PM,15.6217,78.449,,,,,
207,02/17/23 07:15:00 PM,15.6240,78.274,,,,,
208,02/17/23 07:30:00 PM,15.6268,78.274,,,,,
209,02/17/23 07:45:00 PM,15.6349,78.274,,,,,
210,02/17/23 08:00:00 PM,15.6330,78.098,,,,,
211,02/17/23 08:15:00 PM,15.6330,78.098,,,,,
212,02/17/23 08:30:00 PM,15.6372,78.098,,,,,
213,02/17/23 08:45:00 PM,15.6409,77.923,,,,,
214,02/17/23 09:00:00 PM,15.6436,77.923,,,,,
215,02/17/23 09:15:00 PM,15.6462,77.923,,,,,
216,02/17/23 09:30:00 PM,15.6486,77.749,,,,,
217,02/17/23 09:45:00 PM,15.6499,77.749,,,,,
218,02/17/23 10:00:00 PM,15.6526,77.749,,,,,
219,02/17/23 10:15:00 PM,15.6541,77.749,,,,,
220,02/17/23 10:30:00 PM,15.6507,77.574,,,,,
221,02/17/23 10:45:00 PM,15.6522,77.574,,,,,
222,02/17/23 11:00:00 PM,15.6531,77.400,,,,,
223,02/17/23 11:15:00 PM,15.6503,77.400,,,,,
224,02/17/23 11:30:00 PM,15.6503,77.400,,,,,
225,02/17/23 11:45:00 PM,15.6484,77.225,,,,,
226,02/18/23 12:00:00 AM,15.6457,77.225,,,,,
