"Plot Title: 4.1.5 Vaipito 4.14.2023"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10729276, SEN S/N: 10729276)","Temp, °F (LGR S/N: 10729276, SEN S/N: 10729276)","Coupler Detached (LGR S/N: 10729276)","Coupler Attached (LGR S/N: 10729276)","Host Connected (LGR S/N: 10729276)","Stopped (LGR S/N: 10729276)","End Of File (LGR S/N: 10729276)"
1,04/14/23 12:45:00 PM,14.6970,78.975,Logged,,,,
2,04/14/23 01:00:00 PM,14.7003,78.624,,,,,
3,04/14/23 01:15:00 PM,14.7067,78.449,,,,,
4,04/14/23 01:30:00 PM,14.8397,78.449,,,,,
5,04/14/23 01:45:00 PM,14.9965,78.624,,,,,
6,04/14/23 02:00:00 PM,15.0758,78.624,,,,,
7,04/14/23 02:15:00 PM,15.0572,78.624,,,,,
8,04/14/23 02:30:00 PM,14.9872,78.624,,,,,
9,04/14/23 02:45:00 PM,14.9762,78.800,,,,,
10,04/14/23 03:00:00 PM,14.9644,78.800,,,,,
11,04/14/23 03:15:00 PM,14.9528,78.800,,,,,
12,04/14/23 03:30:00 PM,14.9482,78.800,,,,,
13,04/14/23 03:45:00 PM,14.9387,78.800,,,,,
14,04/14/23 04:00:00 PM,14.9295,78.800,,,,,
15,04/14/23 04:15:00 PM,14.9295,78.800,,,,,
16,04/14/23 04:30:00 PM,14.9179,78.800,,,,,
17,04/14/23 04:45:00 PM,14.9084,78.800,,,,,
18,04/14/23 05:00:00 PM,14.9132,78.800,,,,,
19,04/14/23 05:15:00 PM,14.9084,78.800,,,,,
20,04/14/23 05:30:00 PM,15.0042,78.800,,,,,
21,04/14/23 05:45:00 PM,15.0485,78.800,,,,,
22,04/14/23 06:00:00 PM,15.0414,78.800,,,,,
23,04/14/23 06:15:00 PM,15.0129,78.624,,,,,
24,04/14/23 06:30:00 PM,14.9895,78.624,,,,,
25,04/14/23 06:45:00 PM,14.9825,78.624,,,,,
26,04/14/23 07:00:00 PM,14.9779,78.624,,,,,
27,04/14/23 07:15:00 PM,14.9733,78.624,,,,,
28,04/14/23 07:30:00 PM,14.9685,78.624,,,,,
29,04/14/23 07:45:00 PM,14.9592,78.624,,,,,
30,04/14/23 08:00:00 PM,14.9592,78.624,,,,,
31,04/14/23 08:15:00 PM,14.9546,78.624,,,,,
32,04/14/23 08:30:00 PM,14.9546,78.624,,,,,
33,04/14/23 08:45:00 PM,14.9546,78.624,,,,,
34,04/14/23 09:00:00 PM,14.9476,78.624,,,,,
35,04/14/23 09:15:00 PM,14.9428,78.624,,,,,
36,04/14/23 09:30:00 PM,14.9382,78.624,,,,,
37,04/14/23 09:45:00 PM,14.9335,78.624,,,,,
38,04/14/23 10:00:00 PM,14.9289,78.624,,,,,
39,04/14/23 10:15:00 PM,14.9219,78.624,,,,,
40,04/14/23 10:30:00 PM,14.9173,78.624,,,,,
41,04/14/23 10:45:00 PM,14.9125,78.624,,,,,
42,04/14/23 11:00:00 PM,14.9055,78.624,,,,,
43,04/14/23 11:15:00 PM,14.9009,78.624,,,,,
44,04/14/23 11:30:00 PM,14.8986,78.624,,,,,
45,04/14/23 11:45:00 PM,14.8893,78.624,,,,,
46,04/15/23 12:00:00 AM,14.8939,78.624,,,,,
47,04/15/23 12:15:00 AM,14.8868,78.624,,,,,
48,04/15/23 12:30:00 AM,14.8845,78.624,,,,,
49,04/15/23 12:45:00 AM,14.8752,78.624,,,,,
50,04/15/23 01:00:00 AM,14.8683,78.624,,,,,
51,04/15/23 01:15:00 AM,14.8683,78.624,,,,,
52,04/15/23 01:30:00 AM,14.8590,78.624,,,,,
53,04/15/23 01:45:00 AM,14.8519,78.624,,,,,
54,04/15/23 02:00:00 AM,14.8449,78.624,,,,,
55,04/15/23 02:15:00 AM,14.8613,78.624,,,,,
56,04/15/23 02:30:00 AM,14.8962,78.624,,,,,
57,04/15/23 02:45:00 AM,14.8868,78.624,,,,,
58,04/15/23 03:00:00 AM,14.8868,78.624,,,,,
59,04/15/23 03:15:00 AM,14.8939,78.624,,,,,
60,04/15/23 03:30:00 AM,14.8893,78.624,,,,,
61,04/15/23 03:45:00 AM,14.8799,78.624,,,,,
62,04/15/23 04:00:00 AM,14.8775,78.624,,,,,
63,04/15/23 04:15:00 AM,14.8752,78.624,,,,,
64,04/15/23 04:30:00 AM,14.8659,78.624,,,,,
65,04/15/23 04:45:00 AM,14.8613,78.624,,,,,
66,04/15/23 05:00:00 AM,14.8565,78.624,,,,,
67,04/15/23 05:15:00 AM,14.8542,78.624,,,,,
68,04/15/23 05:30:00 AM,14.8542,78.624,,,,,
69,04/15/23 05:45:00 AM,14.8495,78.624,,,,,
70,04/15/23 06:00:00 AM,14.8466,78.449,,,,,
71,04/15/23 06:15:00 AM,14.8449,78.624,,,,,
72,04/15/23 06:30:00 AM,14.8449,78.624,,,,,
73,04/15/23 06:45:00 AM,14.8426,78.624,,,,,
74,04/15/23 07:00:00 AM,14.8420,78.449,,,,,
75,04/15/23 07:15:00 AM,14.8426,78.624,,,,,
76,04/15/23 07:30:00 AM,14.8420,78.449,,,,,
77,04/15/23 07:45:00 AM,14.8397,78.449,,,,,
78,04/15/23 08:00:00 AM,14.8397,78.449,,,,,
79,04/15/23 08:15:00 AM,14.8420,78.449,,,,,
80,04/15/23 08:30:00 AM,14.8374,78.449,,,,,
81,04/15/23 08:45:00 AM,14.8379,78.624,,,,,
82,04/15/23 09:00:00 AM,14.8379,78.624,,,,,
83,04/15/23 09:15:00 AM,14.8403,78.624,,,,,
84,04/15/23 09:30:00 AM,14.8333,78.624,,,,,
85,04/15/23 09:45:00 AM,14.8287,78.624,,,,,
86,04/15/23 10:00:00 AM,14.8287,78.624,,,,,
87,04/15/23 10:15:00 AM,14.8287,78.624,,,,,
88,04/15/23 10:30:00 AM,14.8287,78.624,,,,,
89,04/15/23 10:45:00 AM,14.8287,78.624,,,,,
90,04/15/23 11:00:00 AM,14.8239,78.624,,,,,
91,04/15/23 11:15:00 AM,14.8239,78.624,,,,,
92,04/15/23 11:30:00 AM,14.8169,78.624,,,,,
93,04/15/23 11:45:00 AM,14.8123,78.624,,,,,
94,04/15/23 12:00:00 PM,14.8076,78.624,,,,,
95,04/15/23 12:15:00 PM,14.8030,78.624,,,,,
96,04/15/23 12:30:00 PM,14.8007,78.624,,,,,
97,04/15/23 12:45:00 PM,14.7983,78.624,,,,,
98,04/15/23 01:00:00 PM,14.8076,78.624,,,,,
99,04/15/23 01:15:00 PM,14.8659,78.624,,,,,
100,04/15/23 01:30:00 PM,14.8986,78.624,,,,,
101,04/15/23 01:45:00 PM,15.0146,78.449,,,,,
102,04/15/23 02:00:00 PM,15.0957,78.274,,,,,
103,04/15/23 02:15:00 PM,15.0926,78.098,,,,,
104,04/15/23 02:30:00 PM,15.0548,77.923,,,,,
105,04/15/23 02:45:00 PM,15.0220,77.923,,,,,
106,04/15/23 03:00:00 PM,15.0011,77.923,,,,,
107,04/15/23 03:15:00 PM,14.9934,77.749,,,,,
108,04/15/23 03:30:00 PM,14.9911,77.749,,,,,
109,04/15/23 03:45:00 PM,14.9841,77.749,,,,,
110,04/15/23 04:00:00 PM,14.9841,77.749,,,,,
111,04/15/23 04:15:00 PM,14.9841,77.749,,,,,
112,04/15/23 04:30:00 PM,14.9818,77.749,,,,,
113,04/15/23 04:45:00 PM,14.9795,77.749,,,,,
114,04/15/23 05:00:00 PM,14.9701,77.749,,,,,
115,04/15/23 05:15:00 PM,14.9654,77.749,,,,,
116,04/15/23 05:30:00 PM,14.9585,77.749,,,,,
117,04/15/23 05:45:00 PM,14.9515,77.749,,,,,
118,04/15/23 06:00:00 PM,14.9469,77.749,,,,,
119,04/15/23 06:15:00 PM,14.9515,77.749,,,,,
120,04/15/23 06:30:00 PM,14.9538,77.749,,,,,
121,04/15/23 06:45:00 PM,14.9515,77.749,,,,,
122,04/15/23 07:00:00 PM,14.9469,77.749,,,,,
123,04/15/23 07:15:00 PM,14.9445,77.749,,,,,
124,04/15/23 07:30:00 PM,14.9398,77.749,,,,,
125,04/15/23 07:45:00 PM,14.9398,77.749,,,,,
126,04/15/23 08:00:00 PM,14.9374,77.749,,,,,
127,04/15/23 08:15:00 PM,14.9328,77.749,,,,,
128,04/15/23 08:30:00 PM,14.9328,77.749,,,,,
129,04/15/23 08:45:00 PM,14.9282,77.749,,,,,
130,04/15/23 09:00:00 PM,14.9258,77.749,,,,,
131,04/15/23 09:15:00 PM,14.9212,77.749,,,,,
132,04/15/23 09:30:00 PM,14.9189,77.749,,,,,
133,04/15/23 09:45:00 PM,14.9142,77.749,,,,,
134,04/15/23 10:00:00 PM,14.9094,77.749,,,,,
135,04/15/23 10:15:00 PM,14.9025,77.749,,,,,
136,04/15/23 10:30:00 PM,14.8955,77.749,,,,,
137,04/15/23 10:45:00 PM,14.8886,77.749,,,,,
138,04/15/23 11:00:00 PM,14.8862,77.749,,,,,
139,04/15/23 11:15:00 PM,14.8886,77.749,,,,,
140,04/15/23 11:30:00 PM,14.8862,77.749,,,,,
141,04/15/23 11:45:00 PM,14.8815,77.749,,,,,
142,04/16/23 12:00:00 AM,14.8745,77.749,,,,,
143,04/16/23 12:15:00 AM,14.8698,77.749,,,,,
144,04/16/23 12:30:00 AM,14.8698,77.749,,,,,
145,04/16/23 12:45:00 AM,14.8629,77.749,,,,,
146,04/16/23 01:00:00 AM,14.8606,77.749,,,,,
147,04/16/23 01:15:00 AM,14.8582,77.749,,,,,
148,04/16/23 01:30:00 AM,14.8535,77.749,,,,,
149,04/16/23 01:45:00 AM,14.8465,77.749,,,,,
150,04/16/23 02:00:00 AM,14.8372,77.749,,,,,
151,04/16/23 02:15:00 AM,14.8372,77.749,,,,,
152,04/16/23 02:30:00 AM,14.8372,77.749,,,,,
153,04/16/23 02:45:00 AM,14.8279,77.749,,,,,
154,04/16/23 03:00:00 AM,14.8303,77.749,,,,,
155,04/16/23 03:15:00 AM,14.8303,77.749,,,,,
156,04/16/23 03:30:00 AM,14.8256,77.749,,,,,
157,04/16/23 03:45:00 AM,14.8162,77.749,,,,,
158,04/16/23 04:00:00 AM,14.8185,77.749,,,,,
159,04/16/23 04:15:00 AM,14.8231,77.749,,,,,
160,04/16/23 04:30:00 AM,14.8162,77.749,,,,,
