"Plot Title: 4.1.5 Vaipito 1.19.2024"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10729276, SEN S/N: 10729276)","Temp, °F (LGR S/N: 10729276, SEN S/N: 10729276)","Coupler Detached (LGR S/N: 10729276)","Coupler Attached (LGR S/N: 10729276)","Host Connected (LGR S/N: 10729276)","Stopped (LGR S/N: 10729276)","End Of File (LGR S/N: 10729276)"
1,07/19/24 11:15:00 AM,14.8616,76.703,Logged,,,,
2,07/19/24 11:30:00 AM,14.8493,76.528,,,,,
3,07/19/24 11:45:00 AM,14.8446,76.528,,,,,
4,07/19/24 12:00:00 PM,14.8400,76.528,,,,,
5,07/19/24 12:15:00 PM,14.8353,76.528,,,,,
6,07/19/24 12:30:00 PM,14.8313,76.703,,,,,
7,07/19/24 12:45:00 PM,14.8313,76.703,,,,,
8,07/19/24 01:00:00 PM,14.8266,76.703,,,,,
9,07/19/24 01:15:00 PM,14.8272,76.876,,,,,
10,07/19/24 01:30:00 PM,14.8249,76.876,,,,,
11,07/19/24 01:45:00 PM,14.8226,76.876,,,,,
12,07/19/24 02:00:00 PM,14.8226,76.876,,,,,
13,07/19/24 02:15:00 PM,14.8202,76.876,,,,,
14,07/19/24 02:30:00 PM,14.8162,77.050,,,,,
15,07/19/24 02:45:00 PM,14.8162,77.050,,,,,
16,07/19/24 03:00:00 PM,14.8162,77.050,,,,,
17,07/19/24 03:15:00 PM,14.8139,77.050,,,,,
18,07/19/24 03:30:00 PM,14.8139,77.050,,,,,
19,07/19/24 03:45:00 PM,14.8115,77.050,,,,,
20,07/19/24 04:00:00 PM,14.8144,77.225,,,,,
21,07/19/24 04:15:00 PM,14.8144,77.225,,,,,
22,07/19/24 04:30:00 PM,14.8144,77.225,,,,,
23,07/19/24 04:45:00 PM,14.8214,77.225,,,,,
24,07/19/24 05:00:00 PM,14.8237,77.225,,,,,
25,07/19/24 05:15:00 PM,14.8260,77.225,,,,,
26,07/19/24 05:30:00 PM,14.8214,77.225,,,,,
27,07/19/24 05:45:00 PM,14.8260,77.225,,,,,
28,07/19/24 06:00:00 PM,14.8284,77.225,,,,,
29,07/19/24 06:15:00 PM,14.8307,77.225,,,,,
30,07/19/24 06:30:00 PM,14.8284,77.225,,,,,
31,07/19/24 06:45:00 PM,14.8330,77.225,,,,,
32,07/19/24 07:00:00 PM,14.8378,77.225,,,,,
33,07/19/24 07:15:00 PM,14.8401,77.225,,,,,
34,07/19/24 07:30:00 PM,14.8424,77.225,,,,,
35,07/19/24 07:45:00 PM,14.8471,77.225,,,,,
36,07/19/24 08:00:00 PM,14.8517,77.225,,,,,
37,07/19/24 08:15:00 PM,14.8540,77.225,,,,,
38,07/19/24 08:30:00 PM,14.8558,77.050,,,,,
39,07/19/24 08:45:00 PM,14.8558,77.050,,,,,
