"Plot Title: 4.1.8 Fagaitua 9.15.2022"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20061677, SEN S/N: 20061677)","Temp, °F (LGR S/N: 20061677, SEN S/N: 20061677)","Coupler Detached (LGR S/N: 20061677)","Coupler Attached (LGR S/N: 20061677)","Host Connected (LGR S/N: 20061677)","Stopped (LGR S/N: 20061677)","End Of File (LGR S/N: 20061677)"
1,09/15/22 02:30:00 PM,14.8162,87.552,Logged,,,,
2,09/15/22 02:45:00 PM,14.8133,86.823,,,,,
3,09/15/22 03:00:00 PM,14.8134,86.277,,,,,
4,09/15/22 03:15:00 PM,14.8120,85.915,,,,,
5,09/15/22 03:30:00 PM,14.8136,85.735,,,,,
6,09/15/22 03:45:00 PM,14.8128,85.554,,,,,
7,09/15/22 04:00:00 PM,14.8121,85.374,,,,,
8,09/15/22 04:15:00 PM,14.8137,85.194,,,,,
9,09/15/22 04:30:00 PM,14.8153,85.014,,,,,
10,09/15/22 04:45:00 PM,14.8162,84.654,,,,,
11,09/15/22 05:00:00 PM,14.8201,84.474,,,,,
12,09/15/22 05:15:00 PM,14.8233,84.115,,,,,
13,09/15/22 05:30:00 PM,14.8227,83.935,,,,,
14,09/15/22 05:45:00 PM,14.8274,83.935,,,,,
15,09/15/22 06:00:00 PM,14.8305,83.579,,,,,
16,09/15/22 06:15:00 PM,14.8337,83.221,,,,,
17,09/15/22 06:30:00 PM,14.8307,83.043,,,,,
18,09/15/22 06:45:00 PM,14.8339,82.686,,,,,
19,09/15/22 07:00:00 PM,14.8347,82.330,,,,,
20,09/15/22 07:15:00 PM,14.8363,82.152,,,,,
21,09/15/22 07:30:00 PM,14.8404,81.975,,,,,
22,09/15/22 07:45:00 PM,14.8427,81.975,,,,,
23,09/15/22 08:00:00 PM,14.8472,81.975,,,,,
24,09/15/22 08:15:00 PM,14.8490,81.797,,,,,
25,09/15/22 08:30:00 PM,14.8529,81.621,,,,,
26,09/15/22 08:45:00 PM,14.8530,81.090,,,,,
27,09/15/22 09:00:00 PM,14.8562,80.735,,,,,
28,09/15/22 09:15:00 PM,14.8556,80.559,,,,,
29,09/15/22 09:30:00 PM,14.8603,80.559,,,,,
30,09/15/22 09:45:00 PM,14.8661,77.923,,,,,
31,09/15/22 10:00:00 PM,14.8582,76.528,,,,,
32,09/15/22 10:15:00 PM,14.8619,76.876,,,,,
33,09/15/22 10:30:00 PM,14.8646,77.574,,,,,
34,09/15/22 10:45:00 PM,14.8638,77.923,,,,,
35,09/15/22 11:00:00 PM,14.8638,77.923,,,,,
36,09/15/22 11:15:00 PM,14.8654,77.749,,,,,
