Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/22/2023,12:45,14.5934,87.552,Logged,,,,
12/22/2023,13:00,14.5885,83.935,,,,,
12/22/2023,13:15,14.5866,82.33,,,,,
12/22/2023,13:30,14.5847,82.152,,,,,
12/22/2023,13:45,14.5799,82.152,,,,,
12/22/2023,14:00,14.5799,82.152,,,,,
12/22/2023,14:15,14.578,82.686,,,,,
12/22/2023,14:30,14.5753,82.864,,,,,
12/22/2023,14:45,14.573,82.508,,,,,
12/22/2023,15:00,14.5748,82.686,,,,,
12/22/2023,15:15,14.5748,82.686,,,,,
12/22/2023,15:30,14.5757,82.33,,,,,
12/22/2023,15:45,14.5721,82.152,,,,,
12/22/2023,16:00,14.5714,81.797,,,,,
12/22/2023,16:15,14.5741,81.621,,,,,
12/22/2023,16:30,14.5785,81.442,,,,,
12/22/2023,16:45,14.578,81.266,,,,,
12/22/2023,17:00,14.5785,81.442,,,,,
12/22/2023,17:15,14.5796,81.266,,,,,
12/22/2023,17:30,14.573,81.09,,,,,
12/22/2023,17:45,14.5776,81.09,,,,,
12/22/2023,18:00,14.5789,80.911,,,,,
12/22/2023,18:15,14.5812,80.559,,,,,
12/22/2023,18:30,14.5856,80.382,,,,,
12/22/2023,18:45,14.5902,80.382,,,,,
12/22/2023,19:00,14.5898,80.206,,,,,
12/22/2023,19:15,14.593,80.206,,,,,
12/22/2023,19:30,14.5925,80.029,,,,,
12/22/2023,19:45,14.5957,80.029,,,,,
12/22/2023,20:00,14.5985,79.853,,,,,
12/22/2023,20:15,14.6001,79.853,,,,,
12/22/2023,20:30,14.5988,80.029,,,,,
12/22/2023,20:45,14.6015,79.853,,,,,
12/22/2023,21:00,14.6063,79.853,,,,,
12/22/2023,21:15,14.6091,79.678,,,,,
12/22/2023,21:30,14.6121,79.678,,,,,
12/22/2023,21:45,14.6121,79.678,,,,,
12/22/2023,22:00,14.6153,79.678,,,,,
12/22/2023,22:15,14.6169,79.678,,,,,
12/22/2023,22:30,14.6199,79.678,,,,,
12/22/2023,22:45,14.6188,79.853,,,,,
12/22/2023,23:00,14.6184,79.678,,,,,
12/22/2023,23:15,14.6184,79.678,,,,,
12/22/2023,23:30,14.6199,79.678,,,,,
12/22/2023,23:45,14.6197,79.502,,,,,
12/23/2023,0:00,14.6146,79.326,,,,,
12/23/2023,0:15,14.6111,79.151,,,,,
12/23/2023,0:30,14.6111,79.151,,,,,
12/23/2023,0:45,14.6079,79.151,,,,,
12/23/2023,1:00,14.6044,78.975,,,,,
12/23/2023,1:15,14.6001,79.151,,,,,
12/23/2023,1:30,14.5938,79.151,,,,,
12/23/2023,1:45,14.5922,79.151,,,,,
12/23/2023,2:00,14.5907,79.151,,,,,
12/23/2023,2:15,14.5907,79.151,,,,,
12/23/2023,2:30,14.5841,78.975,,,,,
12/23/2023,2:45,14.5888,78.975,,,,,
12/23/2023,3:00,14.5848,78.624,,,,,
12/23/2023,3:15,14.5857,78.274,,,,,
12/23/2023,3:30,14.5841,78.274,,,,,
12/23/2023,3:45,14.583,78.449,,,,,
12/23/2023,4:00,14.5798,78.449,,,,,
12/23/2023,4:15,14.5834,78.624,,,,,
12/23/2023,4:30,14.5798,78.449,,,,,
12/23/2023,4:45,14.5848,78.624,,,,,
12/23/2023,5:00,14.5864,78.624,,,,,
12/23/2023,5:15,14.5896,78.624,,,,,
12/23/2023,5:30,14.5927,78.624,,,,,
12/23/2023,5:45,14.5989,78.624,,,,,
12/23/2023,6:00,14.6005,78.624,,,,,
12/23/2023,6:15,14.6037,78.624,,,,,
12/23/2023,6:30,14.6037,78.624,,,,,
12/23/2023,6:45,14.604,78.8,,,,,
12/23/2023,7:00,14.6056,78.8,,,,,
12/23/2023,7:15,14.6075,78.975,,,,,
12/23/2023,7:30,14.6095,79.151,,,,,
12/23/2023,7:45,14.6098,79.326,,,,,
12/23/2023,8:00,14.6118,79.502,,,,,
12/23/2023,8:15,14.6107,79.678,,,,,
12/23/2023,8:30,14.6107,79.678,,,,,
12/23/2023,8:45,14.6126,79.853,,,,,
12/23/2023,9:00,14.6149,79.502,,,,,
12/23/2023,9:15,14.6095,78.449,,,,,
12/23/2023,9:30,14.6056,78.8,,,,,
12/23/2023,9:45,14.6072,78.8,,,,,
12/23/2023,10:00,14.6065,78.449,,,,,
12/23/2023,10:15,14.6053,78.624,,,,,
12/23/2023,10:30,14.6047,79.151,,,,,
12/23/2023,10:45,14.6028,79.678,,,,,
12/23/2023,11:00,14.602,80.029,,,,,
