"Plot Title: 4.1.8 Fagaitua_4.14.2023"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10729278, SEN S/N: 10729278)","Temp, °F (LGR S/N: 10729278, SEN S/N: 10729278)","Coupler Detached (LGR S/N: 10729278)","Coupler Attached (LGR S/N: 10729278)","Host Connected (LGR S/N: 10729278)","Stopped (LGR S/N: 10729278)","End Of File (LGR S/N: 10729278)"
1,04/14/23 11:00:00 AM,1.0834,81.442,Logged,,,,
2,04/14/23 11:15:00 AM,1.0634,80.735,,,,,
3,04/14/23 11:30:00 AM,1.0608,80.559,,,,,
4,04/14/23 11:45:00 AM,1.0585,80.735,,,,,
5,04/14/23 12:00:00 PM,1.0589,81.090,,,,,
6,04/14/23 12:15:00 PM,1.0589,81.090,,,,,
7,04/14/23 12:30:00 PM,1.0588,80.911,,,,,
8,04/14/23 12:45:00 PM,1.0585,80.735,,,,,
9,04/14/23 01:00:00 PM,1.0582,80.382,,,,,
10,04/14/23 01:15:00 PM,1.0585,80.735,,,,,
11,04/14/23 01:30:00 PM,1.0588,80.911,,,,,
12,04/14/23 01:45:00 PM,1.0578,80.029,,,,,
13,04/14/23 02:00:00 PM,1.0573,79.678,,,,,
14,04/14/23 02:15:00 PM,1.0575,79.853,,,,,
15,04/14/23 02:30:00 PM,1.0575,79.853,,,,,
16,04/14/23 02:45:00 PM,1.0573,79.678,,,,,
17,04/14/23 03:00:00 PM,1.0570,79.502,,,,,
18,04/14/23 03:15:00 PM,1.0573,79.678,,,,,
19,04/14/23 03:30:00 PM,1.0570,79.502,,,,,
20,04/14/23 03:45:00 PM,1.0573,79.678,,,,,
21,04/14/23 04:00:00 PM,1.0575,79.853,,,,,
22,04/14/23 04:15:00 PM,1.0578,80.029,,,,,
23,04/14/23 04:30:00 PM,1.0570,79.502,,,,,
24,04/14/23 04:45:00 PM,1.0566,79.151,,,,,
25,04/14/23 05:00:00 PM,1.0637,78.975,,,,,
26,04/14/23 05:15:00 PM,1.0589,78.975,,,,,
27,04/14/23 05:30:00 PM,1.0565,78.975,,,,,
28,04/14/23 05:45:00 PM,1.0563,78.800,,,,,
29,04/14/23 06:00:00 PM,1.0969,78.624,,,,,
30,04/14/23 06:15:00 PM,1.1111,78.449,,,,,
31,04/14/23 06:30:00 PM,1.1135,78.449,,,,,
32,04/14/23 06:45:00 PM,1.0676,78.274,,,,,
33,04/14/23 07:00:00 PM,1.0581,78.274,,,,,
34,04/14/23 07:15:00 PM,1.0581,78.274,,,,,
35,04/14/23 07:30:00 PM,1.0556,78.274,,,,,
36,04/14/23 07:45:00 PM,1.1085,78.274,,,,,
37,04/14/23 08:00:00 PM,1.1133,78.274,,,,,
38,04/14/23 08:15:00 PM,1.0679,78.449,,,,,
39,04/14/23 08:30:00 PM,1.0582,78.449,,,,,
40,04/14/23 08:45:00 PM,1.1039,78.449,,,,,
41,04/14/23 09:00:00 PM,1.1111,78.449,,,,,
42,04/14/23 09:15:00 PM,1.0676,78.274,,,,,
43,04/14/23 09:30:00 PM,1.0581,78.274,,,,,
44,04/14/23 09:45:00 PM,1.1013,78.274,,,,,
45,04/14/23 10:00:00 PM,1.1135,78.449,,,,,
46,04/14/23 10:15:00 PM,1.1135,78.449,,,,,
47,04/14/23 10:30:00 PM,1.1181,78.274,,,,,
48,04/14/23 10:45:00 PM,1.0676,78.274,,,,,
49,04/14/23 11:00:00 PM,1.0581,78.274,,,,,
50,04/14/23 11:15:00 PM,1.1061,78.274,,,,,
51,04/14/23 11:30:00 PM,1.1133,78.274,,,,,
52,04/14/23 11:45:00 PM,1.1133,78.274,,,,,
53,04/15/23 12:00:00 AM,1.1181,78.274,,,,,
54,04/15/23 12:15:00 AM,1.1129,77.923,,,,,
55,04/15/23 12:30:00 AM,1.1151,77.749,,,,,
56,04/15/23 12:45:00 AM,1.1149,77.574,,,,,
57,04/15/23 01:00:00 AM,1.1151,77.749,,,,,
58,04/15/23 01:15:00 AM,1.1177,77.923,,,,,
59,04/15/23 01:30:00 AM,1.1155,78.098,,,,,
60,04/15/23 01:45:00 AM,1.1227,78.098,,,,,
