"Plot Title: 4.1.9 Tula_3.17.2023"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10699188, SEN S/N: 10699188)","Temp, °F (LGR S/N: 10699188, SEN S/N: 10699188)","Coupler Detached (LGR S/N: 10699188)","Coupler Attached (LGR S/N: 10699188)","Host Connected (LGR S/N: 10699188)","Stopped (LGR S/N: 10699188)","End Of File (LGR S/N: 10699188)"
1,03/17/23 12:00:00 PM,14.8627,80.735,Logged,,,,
2,03/17/23 12:15:00 PM,14.8571,80.206,,,,,
3,03/17/23 12:30:00 PM,14.8501,80.206,,,,,
4,03/17/23 12:45:00 PM,14.8506,80.382,,,,,
5,03/17/23 01:00:00 PM,14.8506,80.382,,,,,
6,03/17/23 01:15:00 PM,14.8487,80.559,,,,,
7,03/17/23 01:30:00 PM,14.8440,80.559,,,,,
8,03/17/23 01:45:00 PM,14.8417,80.559,,,,,
9,03/17/23 02:00:00 PM,14.8394,80.559,,,,,
10,03/17/23 02:15:00 PM,14.8352,80.735,,,,,
11,03/17/23 02:30:00 PM,14.8260,80.735,,,,,
12,03/17/23 02:45:00 PM,14.8284,80.735,,,,,
13,03/17/23 03:00:00 PM,14.8242,80.911,,,,,
14,03/17/23 03:15:00 PM,14.8218,80.911,,,,,
15,03/17/23 03:30:00 PM,14.8242,80.911,,,,,
16,03/17/23 03:45:00 PM,14.8242,80.911,,,,,
17,03/17/23 04:00:00 PM,14.8218,80.911,,,,,
18,03/17/23 04:15:00 PM,14.8237,80.735,,,,,
19,03/17/23 04:30:00 PM,14.8216,80.735,,,,,
20,03/17/23 04:45:00 PM,14.8216,80.735,,,,,
21,03/17/23 05:00:00 PM,14.8258,80.559,,,,,
22,03/17/23 05:15:00 PM,14.8281,80.559,,,,,
23,03/17/23 05:30:00 PM,14.8300,80.382,,,,,
24,03/17/23 05:45:00 PM,14.8295,80.206,,,,,
25,03/17/23 06:00:00 PM,14.8318,80.206,,,,,
26,03/17/23 06:15:00 PM,14.8365,80.206,,,,,
27,03/17/23 06:30:00 PM,14.8384,80.029,,,,,
28,03/17/23 06:45:00 PM,14.8430,80.029,,,,,
29,03/17/23 07:00:00 PM,14.8472,79.853,,,,,
30,03/17/23 07:15:00 PM,14.8472,79.853,,,,,
31,03/17/23 07:30:00 PM,14.8514,79.678,,,,,
32,03/17/23 07:45:00 PM,14.8514,79.678,,,,,
33,03/17/23 08:00:00 PM,14.8556,79.502,,,,,
34,03/17/23 08:15:00 PM,14.8580,79.502,,,,,
35,03/17/23 08:30:00 PM,14.8580,79.502,,,,,
36,03/17/23 08:45:00 PM,14.8580,79.502,,,,,
37,03/17/23 09:00:00 PM,14.8577,79.326,,,,,
38,03/17/23 09:15:00 PM,14.8598,79.326,,,,,
39,03/17/23 09:30:00 PM,14.8622,79.326,,,,,
40,03/17/23 09:45:00 PM,14.8645,79.326,,,,,
41,03/17/23 10:00:00 PM,14.8664,79.151,,,,,
42,03/17/23 10:15:00 PM,14.8640,79.151,,,,,
43,03/17/23 10:30:00 PM,14.8640,79.151,,,,,
44,03/17/23 10:45:00 PM,14.8664,79.151,,,,,
45,03/17/23 11:00:00 PM,14.8664,79.151,,,,,
46,03/17/23 11:15:00 PM,14.8640,79.151,,,,,
47,03/17/23 11:30:00 PM,14.8640,79.151,,,,,
48,03/17/23 11:45:00 PM,14.8614,78.975,,,,,
49,03/18/23 12:00:00 AM,14.8614,78.975,,,,,
50,03/18/23 12:15:00 AM,14.8591,78.975,,,,,
51,03/18/23 12:30:00 AM,14.8569,78.975,,,,,
52,03/18/23 12:45:00 AM,14.8546,78.975,,,,,
53,03/18/23 01:00:00 AM,14.8520,78.800,,,,,
54,03/18/23 01:15:00 AM,14.8450,78.800,,,,,
55,03/18/23 01:30:00 AM,14.8450,78.800,,,,,
56,03/18/23 01:45:00 AM,14.8406,78.800,,,,,
57,03/18/23 02:00:00 AM,14.8337,78.800,,,,,
58,03/18/23 02:15:00 AM,14.8337,78.800,,,,,
59,03/18/23 02:30:00 AM,14.8333,78.624,,,,,
60,03/18/23 02:45:00 AM,14.8333,78.624,,,,,
61,03/18/23 03:00:00 AM,14.8310,78.624,,,,,
62,03/18/23 03:15:00 AM,14.8288,78.624,,,,,
63,03/18/23 03:30:00 AM,14.8265,78.624,,,,,
64,03/18/23 03:45:00 AM,14.8265,78.624,,,,,
65,03/18/23 04:00:00 AM,14.8284,78.449,,,,,
66,03/18/23 04:15:00 AM,14.8262,78.449,,,,,
67,03/18/23 04:30:00 AM,14.8284,78.449,,,,,
68,03/18/23 04:45:00 AM,14.8262,78.449,,,,,
69,03/18/23 05:00:00 AM,14.8307,78.449,,,,,
70,03/18/23 05:15:00 AM,14.8284,78.449,,,,,
71,03/18/23 05:30:00 AM,14.8353,78.449,,,,,
72,03/18/23 05:45:00 AM,14.8372,78.274,,,,,
73,03/18/23 06:00:00 AM,14.8372,78.274,,,,,
74,03/18/23 06:15:00 AM,14.8372,78.274,,,,,
75,03/18/23 06:30:00 AM,14.8395,78.274,,,,,
76,03/18/23 06:45:00 AM,14.8419,78.274,,,,,
77,03/18/23 07:00:00 AM,14.8395,78.274,,,,,
78,03/18/23 07:15:00 AM,14.8445,78.449,,,,,
79,03/18/23 07:30:00 AM,14.8466,78.449,,,,,
80,03/18/23 07:45:00 AM,14.8490,78.449,,,,,
81,03/18/23 08:00:00 AM,14.8516,78.624,,,,,
82,03/18/23 08:15:00 AM,14.8539,78.624,,,,,
83,03/18/23 08:30:00 AM,14.8543,78.800,,,,,
84,03/18/23 08:45:00 AM,14.8588,78.800,,,,,
85,03/18/23 09:00:00 AM,14.8569,78.975,,,,,
86,03/18/23 09:15:00 AM,14.8577,79.326,,,,,
87,03/18/23 09:30:00 AM,14.8577,79.326,,,,,
88,03/18/23 09:45:00 AM,14.8577,79.326,,,,,
89,03/18/23 10:00:00 AM,14.8533,79.502,,,,,
90,03/18/23 10:15:00 AM,14.8533,79.502,,,,,
91,03/18/23 10:30:00 AM,14.8561,79.678,,,,,
92,03/18/23 10:45:00 AM,14.8517,79.853,,,,,
93,03/18/23 11:00:00 AM,14.8522,80.029,,,,,
94,03/18/23 11:15:00 AM,14.8479,80.206,,,,,
95,03/18/23 11:30:00 AM,14.8501,80.206,,,,,
96,03/18/23 11:45:00 AM,14.8456,80.206,,,,,
97,03/18/23 12:00:00 PM,14.8433,80.206,,,,,
98,03/18/23 12:15:00 PM,14.8414,80.382,,,,,
99,03/18/23 12:30:00 PM,14.8394,80.559,,,,,
100,03/18/23 12:45:00 PM,14.8394,80.559,,,,,
101,03/18/23 01:00:00 PM,14.8352,80.735,,,,,
102,03/18/23 01:15:00 PM,14.8330,80.735,,,,,
103,03/18/23 01:30:00 PM,14.8287,80.911,,,,,
104,03/18/23 01:45:00 PM,14.8265,80.911,,,,,
105,03/18/23 02:00:00 PM,14.8265,80.911,,,,,
106,03/18/23 02:15:00 PM,14.8242,80.911,,,,,
107,03/18/23 02:30:00 PM,14.8200,81.090,,,,,
108,03/18/23 02:45:00 PM,14.8200,81.090,,,,,
109,03/18/23 03:00:00 PM,14.8134,81.266,,,,,
110,03/18/23 03:15:00 PM,14.8134,81.266,,,,,
111,03/18/23 03:30:00 PM,14.8157,81.266,,,,,
112,03/18/23 03:45:00 PM,14.8157,81.266,,,,,
113,03/18/23 04:00:00 PM,14.8153,81.090,,,,,
114,03/18/23 04:15:00 PM,14.8176,81.090,,,,,
115,03/18/23 04:30:00 PM,14.8195,80.911,,,,,
116,03/18/23 04:45:00 PM,14.8242,80.911,,,,,
117,03/18/23 05:00:00 PM,14.8237,80.735,,,,,
118,03/18/23 05:15:00 PM,14.8234,80.559,,,,,
119,03/18/23 05:30:00 PM,14.8211,80.559,,,,,
120,03/18/23 05:45:00 PM,14.8253,80.382,,,,,
121,03/18/23 06:00:00 PM,14.8253,80.382,,,,,
122,03/18/23 06:15:00 PM,14.8295,80.206,,,,,
123,03/18/23 06:30:00 PM,14.8269,80.029,,,,,
124,03/18/23 06:45:00 PM,14.8361,80.029,,,,,
125,03/18/23 07:00:00 PM,14.8404,79.853,,,,,
126,03/18/23 07:15:00 PM,14.8426,79.853,,,,,
127,03/18/23 07:30:00 PM,14.8446,79.678,,,,,
128,03/18/23 07:45:00 PM,14.8491,79.678,,,,,
129,03/18/23 08:00:00 PM,14.8514,79.678,,,,,
130,03/18/23 08:15:00 PM,14.8533,79.502,,,,,
131,03/18/23 08:30:00 PM,14.8533,79.502,,,,,
132,03/18/23 08:45:00 PM,14.8580,79.502,,,,,
133,03/18/23 09:00:00 PM,14.8580,79.502,,,,,
134,03/18/23 09:15:00 PM,14.8603,79.502,,,,,
135,03/18/23 09:30:00 PM,14.8603,79.502,,,,,
136,03/18/23 09:45:00 PM,14.8622,79.326,,,,,
137,03/18/23 10:00:00 PM,14.8622,79.326,,,,,
138,03/18/23 10:15:00 PM,14.8668,79.326,,,,,
139,03/18/23 10:30:00 PM,14.8778,79.151,,,,,
140,03/18/23 10:45:00 PM,14.9313,78.449,,,,,
141,03/18/23 11:00:00 PM,14.9875,77.923,,,,,
142,03/18/23 11:15:00 PM,14.9917,77.749,,,,,
143,03/18/23 11:30:00 PM,14.9570,77.574,,,,,
144,03/18/23 11:45:00 PM,14.9319,77.574,,,,,
145,03/19/23 12:00:00 AM,14.9228,77.574,,,,,
146,03/19/23 12:15:00 AM,14.9296,77.574,,,,,
147,03/19/23 12:30:00 AM,15.0326,77.574,,,,,
148,03/19/23 12:45:00 AM,15.0662,77.225,,,,,
149,03/19/23 01:00:00 AM,15.0113,77.225,,,,,
150,03/19/23 01:15:00 AM,14.9796,77.400,,,,,
151,03/19/23 01:30:00 AM,14.9567,77.400,,,,,
152,03/19/23 01:45:00 AM,14.9457,77.574,,,,,
153,03/19/23 02:00:00 AM,14.9319,77.574,,,,,
154,03/19/23 02:15:00 AM,14.9228,77.574,,,,,
155,03/19/23 02:30:00 AM,14.9208,77.749,,,,,
156,03/19/23 02:45:00 AM,14.9139,77.749,,,,,
157,03/19/23 03:00:00 AM,14.9094,77.749,,,,,
158,03/19/23 03:15:00 AM,14.9003,77.749,,,,,
159,03/19/23 03:30:00 AM,14.8980,77.749,,,,,
160,03/19/23 03:45:00 AM,14.8957,77.749,,,,,
161,03/19/23 04:00:00 AM,14.8933,77.749,,,,,
162,03/19/23 04:15:00 AM,14.8910,77.749,,,,,
163,03/19/23 04:30:00 AM,14.8910,77.749,,,,,
164,03/19/23 04:45:00 AM,14.8910,77.749,,,,,
165,03/19/23 05:00:00 AM,14.8910,77.749,,,,,
166,03/19/23 05:15:00 AM,14.8933,77.749,,,,,
167,03/19/23 05:30:00 AM,14.8910,77.749,,,,,
168,03/19/23 05:45:00 AM,14.8933,77.749,,,,,
169,03/19/23 06:00:00 AM,14.8910,77.749,,,,,
170,03/19/23 06:15:00 AM,14.8888,77.749,,,,,
171,03/19/23 06:30:00 AM,14.8910,77.749,,,,,
172,03/19/23 06:45:00 AM,14.8888,77.749,,,,,
173,03/19/23 07:00:00 AM,14.8910,77.749,,,,,
174,03/19/23 07:15:00 AM,14.8938,77.923,,,,,
175,03/19/23 07:30:00 AM,14.8938,77.923,,,,,
176,03/19/23 07:45:00 AM,14.8960,77.923,,,,,
177,03/19/23 08:00:00 AM,14.8983,77.923,,,,,
178,03/19/23 08:15:00 AM,14.9009,78.098,,,,,
179,03/19/23 08:30:00 AM,14.9009,78.098,,,,,
180,03/19/23 08:45:00 AM,14.9032,78.098,,,,,
181,03/19/23 09:00:00 AM,14.9035,78.274,,,,,
182,03/19/23 09:15:00 AM,14.9058,78.274,,,,,
183,03/19/23 09:30:00 AM,14.9016,78.449,,,,,
184,03/19/23 09:45:00 AM,14.9039,78.449,,,,,
185,03/19/23 10:00:00 AM,14.9019,78.624,,,,,
186,03/19/23 10:15:00 AM,14.9019,78.624,,,,,
187,03/19/23 10:30:00 AM,14.9000,78.800,,,,,
188,03/19/23 10:45:00 AM,14.9000,78.800,,,,,
189,03/19/23 11:00:00 AM,14.8977,78.800,,,,,
190,03/19/23 11:15:00 AM,14.9000,78.800,,,,,
191,03/19/23 11:30:00 AM,14.8977,78.800,,,,,
192,03/19/23 11:45:00 AM,14.9000,78.800,,,,,
193,03/19/23 12:00:00 PM,14.8974,78.624,,,,,
194,03/19/23 12:15:00 PM,14.8997,78.624,,,,,
195,03/19/23 12:30:00 PM,14.8948,78.449,,,,,
196,03/19/23 12:45:00 PM,14.8902,78.449,,,,,
197,03/19/23 01:00:00 PM,14.8875,78.274,,,,,
198,03/19/23 01:15:00 PM,14.8829,78.274,,,,,
199,03/19/23 01:30:00 PM,14.8829,78.274,,,,,
200,03/19/23 01:45:00 PM,14.8784,78.274,,,,,
201,03/19/23 02:00:00 PM,14.8719,78.449,,,,,
202,03/19/23 02:15:00 PM,14.8719,78.449,,,,,
203,03/19/23 02:30:00 PM,14.8672,78.449,,,,,
204,03/19/23 02:45:00 PM,14.8672,78.449,,,,,
205,03/19/23 03:00:00 PM,14.8700,78.624,,,,,
206,03/19/23 03:15:00 PM,14.8677,78.624,,,,,
207,03/19/23 03:30:00 PM,14.8654,78.624,,,,,
208,03/19/23 03:45:00 PM,14.8607,78.624,,,,,
209,03/19/23 04:00:00 PM,14.8607,78.624,,,,,
210,03/19/23 04:15:00 PM,14.8562,78.624,,,,,
211,03/19/23 04:30:00 PM,14.8565,78.800,,,,,
212,03/19/23 04:45:00 PM,14.8565,78.800,,,,,
213,03/19/23 05:00:00 PM,14.8565,78.800,,,,,
214,03/19/23 05:15:00 PM,14.8543,78.800,,,,,
215,03/19/23 05:30:00 PM,14.8543,78.800,,,,,
216,03/19/23 05:45:00 PM,14.8607,78.624,,,,,
217,03/19/23 06:00:00 PM,14.8654,78.624,,,,,
218,03/19/23 06:15:00 PM,14.8677,78.624,,,,,
219,03/19/23 06:30:00 PM,14.8700,78.624,,,,,
220,03/19/23 06:45:00 PM,14.8742,78.449,,,,,
221,03/19/23 07:00:00 PM,14.8765,78.449,,,,,
222,03/19/23 07:15:00 PM,14.8787,78.449,,,,,
223,03/19/23 07:30:00 PM,14.8810,78.449,,,,,
224,03/19/23 07:45:00 PM,14.8784,78.274,,,,,
225,03/19/23 08:00:00 PM,14.8829,78.274,,,,,
226,03/19/23 08:15:00 PM,14.8875,78.274,,,,,
227,03/19/23 08:30:00 PM,14.8894,78.098,,,,,
228,03/19/23 08:45:00 PM,14.8917,78.098,,,,,
229,03/19/23 09:00:00 PM,14.8941,78.098,,,,,
230,03/19/23 09:15:00 PM,14.8964,78.098,,,,,
231,03/19/23 09:30:00 PM,14.8983,77.923,,,,,
232,03/19/23 09:45:00 PM,14.8983,77.923,,,,,
233,03/19/23 10:00:00 PM,14.9029,77.923,,,,,
234,03/19/23 10:15:00 PM,14.9029,77.923,,,,,
235,03/19/23 10:30:00 PM,14.9074,77.923,,,,,
236,03/19/23 10:45:00 PM,14.9051,77.923,,,,,
237,03/19/23 11:00:00 PM,14.9048,77.749,,,,,
238,03/19/23 11:15:00 PM,14.9003,77.749,,,,,
239,03/19/23 11:30:00 PM,14.8980,77.749,,,,,
240,03/19/23 11:45:00 PM,14.8957,77.749,,,,,
241,03/20/23 12:00:00 AM,14.8957,77.749,,,,,
242,03/20/23 12:15:00 AM,14.8933,77.749,,,,,
243,03/20/23 12:30:00 AM,14.8910,77.749,,,,,
244,03/20/23 12:45:00 AM,14.8865,77.749,,,,,
245,03/20/23 01:00:00 AM,14.8842,77.749,,,,,
246,03/20/23 01:15:00 AM,14.8774,77.749,,,,,
247,03/20/23 01:30:00 AM,14.8748,77.574,,,,,
248,03/20/23 01:45:00 AM,14.8748,77.574,,,,,
249,03/20/23 02:00:00 AM,14.8678,77.574,,,,,
250,03/20/23 02:15:00 AM,14.8678,77.574,,,,,
251,03/20/23 02:30:00 AM,14.8678,77.574,,,,,
252,03/20/23 02:45:00 AM,14.8636,77.749,,,,,
253,03/20/23 03:00:00 AM,14.8636,77.749,,,,,
254,03/20/23 03:15:00 AM,14.8591,77.749,,,,,
255,03/20/23 03:30:00 AM,14.8613,77.749,,,,,
256,03/20/23 03:45:00 AM,14.8568,77.749,,,,,
257,03/20/23 04:00:00 AM,14.8568,77.749,,,,,
258,03/20/23 04:15:00 AM,14.8545,77.749,,,,,
259,03/20/23 04:30:00 AM,14.8568,77.749,,,,,
260,03/20/23 04:45:00 AM,14.8613,77.749,,,,,
261,03/20/23 05:00:00 AM,14.8591,77.749,,,,,
262,03/20/23 05:15:00 AM,14.8636,77.749,,,,,
263,03/20/23 05:30:00 AM,14.8613,77.749,,,,,
264,03/20/23 05:45:00 AM,14.8636,77.749,,,,,
265,03/20/23 06:00:00 AM,14.8636,77.749,,,,,
266,03/20/23 06:15:00 AM,14.8683,77.749,,,,,
267,03/20/23 06:30:00 AM,14.8704,77.749,,,,,
268,03/20/23 06:45:00 AM,14.8704,77.749,,,,,
269,03/20/23 07:00:00 AM,14.8727,77.749,,,,,
270,03/20/23 07:15:00 AM,14.8751,77.749,,,,,
271,03/20/23 07:30:00 AM,14.8751,77.749,,,,,
272,03/20/23 07:45:00 AM,14.8797,77.749,,,,,
273,03/20/23 08:00:00 AM,14.8774,77.749,,,,,
274,03/20/23 08:15:00 AM,14.8800,77.923,,,,,
275,03/20/23 08:30:00 AM,14.8823,77.923,,,,,
276,03/20/23 08:45:00 AM,14.8849,78.098,,,,,
