TOA5,1311_Poloa_Wx_cable,CR300,11268,CR300-WIFI.Std.07.04,CPU:ASPAWRRC_Wx_Program_WiFiLogic_v2.CR300,62462,Five_min,,,,,
TIMESTAMP,RECORD,BattV_Min,BattV_Avg,PTemp_C_Avg,AirTF_Avg,RH,SlrWpm2_Avg,SlrMJpm2_Tot,Rain_in_Tot,WS_mph_Avg,WindDir,Temp_F_Tcup_Avg
TS,RN,Volts,Volts,Deg C,Deg F,%,W/m^2,MJ/m^2,inch,miles/hour,degrees,Deg F
,,Min,Avg,Avg,Avg,Smp,Avg,Tot,Tot,Avg,Smp,Avg
1/25/2023 14:05,47261,13.55,13.55,29.58,79.91,93.6,303.2,0.0121281,0,0.092,215.4,-235.6
1/25/2023 14:10,47262,13.53,13.56,30.26,80.2,94.3,496,0.06696052,0,0,244.6,-7999
1/25/2023 14:15,47263,13.52,13.53,30.32,81.5,94.2,1020,0.3059798,0,0,257,-956
1/25/2023 14:20,47264,13.52,13.53,30.48,82.8,93.4,968,0.2903509,0,0.099,171.9,-90
1/25/2023 14:25,47265,13.5,13.52,30.87,83.9,92.1,954,0.2861115,0,0.025,192.2,-94.4
1/25/2023 14:30,47266,13.5,13.51,31.47,85.7,91.1,490,0.1469899,0,0.117,41.66,-62.98
1/25/2023 14:35,47267,13.48,13.5,32.21,86.5,87.3,0.009,2.75E-06,0,0.112,215.8,-20.57
1/25/2023 14:40,47268,13.47,13.49,33.07,86.9,85.3,0.007,1.98E-06,0,0,220.7,-18.26
1/25/2023 14:45,47269,13.23,13.32,33.33,85.5,85.4,0.008,2.29E-06,0,0,124.4,-23.68
1/25/2023 14:50,47270,13.29,13.47,33.32,84.1,90,4.693,0.001407981,0,0,40.75,-29.45
1/25/2023 14:55,47271,13.19,13.24,33.01,82.3,91.4,28,0.008400008,0,0,52.65,-37.8
1/25/2023 15:00,47272,13.17,13.41,32.65,81,92.1,83.6,0.02507312,0,0.253,319.2,-45.18
1/25/2023 15:05,47273,13.48,13.49,32.86,81.6,93,93.3,0.02798793,0,0,235.8,-23.3
1/25/2023 15:10,47274,13.48,13.49,33.03,83.5,92.4,10.64,0.003193062,0,0,218.7,-18.76
1/25/2023 15:15,47275,13.49,13.49,33.29,83.8,89,44.15,0.01324488,0,0.273,49.73,-26.38
1/25/2023 15:20,47276,13.46,13.47,33.7,85.1,87.8,116.9,0.03508335,0,0.029,32.08,-23.96
1/25/2023 15:25,47277,13.46,13.47,34.15,84.8,89,0.009,2.76E-06,0,0.801,289.7,-21.41
1/25/2023 15:30,47278,13.44,13.45,34.67,86,88.4,0.009,2.74E-06,0,0,224.4,-14.66
1/25/2023 15:35,47279,13.43,13.44,35.21,86.8,85.3,0.008,2.41E-06,0,0.041,349.7,-24.35
1/25/2023 15:40,47280,13.44,13.44,35.69,86.5,86.8,31.75,0.009525848,0,0,31.36,-35.21
1/25/2023 15:45,47281,13.42,13.43,35.99,85.4,86.6,442.8,0.1328488,0,0,225.6,-81.3
1/25/2023 15:50,47282,13.41,13.42,36.09,85.7,82.8,22.71,0.006813169,0,0.036,183.9,-31.84
1/25/2023 15:55,47283,13.41,13.42,36.29,85.6,79.65,387.9,0.1163679,0,0.865,266.6,-55.9
1/25/2023 16:00,47284,13.42,13.42,36.54,87,82.5,81.6,0.02449466,0,0,271.9,-29.85
1/25/2023 16:05,47285,13.42,13.43,36.3,87.8,80.5,287,0.08609652,0,0.088,267.7,-51.48
1/25/2023 16:10,47286,13.42,13.42,35.23,88.1,75.76,399.2,0.119759,0,0.077,196.2,-58.81
1/25/2023 16:15,47287,13.41,13.42,34.91,88.5,80.6,483.6,0.1450732,0,0,216.5,-65.3
1/25/2023 16:20,47288,13.41,13.42,34.93,88.8,81.4,298.7,0.08962302,0,0,217.2,-70.3
1/25/2023 16:25,47289,13.42,13.42,34.89,87.1,82.9,152.9,0.0458683,0,0,217.2,-60.15
1/25/2023 16:30,47290,13.41,13.42,34.64,86.5,83.3,352.2,0.1056555,0,0,217.1,-73.14
1/25/2023 16:35,47291,13.41,13.42,34.19,86.1,83.4,145.5,0.04363541,0,0,177.2,-51.06
1/25/2023 16:40,47292,13.41,13.42,33.69,84.7,83.8,246,0.07379736,0,0.534,68.05,-66.5
1/25/2023 16:45,47293,13.42,13.42,33.1,83.7,82.3,290.4,0.08711562,0,1.211,263.5,-69.03
1/25/2023 16:50,47294,13.42,13.42,32.53,83.7,81.3,258.7,0.07761898,0,0.237,117.8,-67.78
1/25/2023 16:55,47295,13.42,13.42,32.1,84.2,82.8,387.6,0.1162821,0,0.53,283.1,-88.8
1/25/2023 17:00,47296,13.42,13.42,31.91,84.4,81.9,442.9,0.1328703,0,0.253,0.318,-89.1
1/25/2023 17:05,47297,13.41,13.42,31.96,85.2,80.2,363.9,0.1091713,0,0.208,290,-80.4
1/25/2023 17:10,47298,13.42,13.42,32.14,85.5,79.78,196.7,0.05901554,0,0.25,258.2,-68.64
1/25/2023 17:15,47299,13.42,13.42,32.14,85,82,78.22,0.02346571,0,0.012,210.7,-48.13
1/25/2023 17:20,47300,13.42,13.42,31.93,84.2,83.4,330,0.09900401,0,0.127,204.5,-83.2
1/25/2023 17:25,47301,13.42,13.44,31.76,85.1,82.7,290.1,0.08702657,0,0,64.5,-80.8
1/25/2023 17:30,47302,13.44,13.44,31.76,85.4,80.1,267.9,0.08037787,0,0.123,125.2,-80.1
1/25/2023 17:35,47303,13.44,13.44,31.89,85.5,77.18,314.8,0.0944339,0,0.148,312.9,-83.5
1/25/2023 17:40,47304,13.44,13.44,32.09,85.8,77.69,308.3,0.09249082,0,0.179,170,-76.97
1/25/2023 17:45,47305,13.44,13.45,32.27,86.2,81.8,318,0.09540396,0,0.03,9.08,-81
1/25/2023 17:50,47306,13.44,13.45,32.43,85.9,79.64,243.3,0.07299297,0,0.544,274,-72.47
1/25/2023 17:55,47307,13.44,13.45,32.26,84.5,82.3,129.8,0.03892858,0,0.07,200,-58.02
1/25/2023 18:00,47308,13.44,13.45,31.84,83.8,83.7,222.6,0.06678567,0,0,201.8,-78.42
1/25/2023 18:05,47309,13.44,13.44,31.28,83.7,85.1,153.6,0.04608082,0,0,29.92,-68.45
1/25/2023 18:10,47310,13.44,13.44,30.68,83.1,87.5,99.6,0.02988901,0,0.22,26.44,-52.51
1/25/2023 18:15,47311,13.44,13.46,29.93,82.6,87.7,55.5,0.01664871,0,0,256.8,-42.52
1/25/2023 18:20,47312,13.37,13.43,28.9,82,88.2,32.45,0.009734479,0,0.184,245.9,-32.03
1/25/2023 18:25,47313,13.3,13.46,28.03,81.5,90.1,31.97,0.009590408,0,0.109,27.17,-44.22
1/25/2023 18:30,47314,13.29,13.3,27.33,81.6,91.2,27.18,0.008153406,0,0.036,35.96,-52.33
1/25/2023 18:35,47315,13.31,13.5,26.75,81.3,91.9,40.64,0.0121912,0,0,32.83,-68.97
1/25/2023 18:40,47316,13.25,13.37,26.28,81.1,91.9,31.55,0.009464979,0,0.106,51.51,-70.99
1/25/2023 18:45,47317,13.15,13.19,25.86,80.9,92.5,21.94,0.00658181,0,0,49.8,-69.06
1/25/2023 18:50,47318,13.1,13.13,25.51,80.7,92.1,17.44,0.005232221,0,0,274.5,-45.68
1/25/2023 18:55,47319,13.06,13.08,25.19,80.3,91.5,9.27,0.002779966,0,0,0.943,-49.7
1/25/2023 19:00,47320,13.04,13.05,24.89,80,91.4,5.596,0.001678741,0,0.066,55.45,-47.88
1/25/2023 19:05,47321,13.02,13.03,24.61,79.89,92.2,3.258,0.000977325,0,0,56.07,-74.9
1/25/2023 19:10,47322,13.01,13.01,24.32,79.77,92.7,1.922,0.000576612,0,0.182,205.1,-60.99
1/25/2023 19:15,47323,13,13.01,24.03,79.58,93,1.131,0.000339434,0,0,205.6,-67.95
1/25/2023 19:20,47324,12.99,13,23.76,79.49,92.9,0.491,0.000147164,0,0.295,334,-54
1/25/2023 19:25,47325,12.99,12.99,23.53,79.28,92.8,0.09,2.69E-05,0,0.117,60.28,-65.22
1/25/2023 19:30,47326,12.98,12.99,23.33,79.19,92.5,0.025,7.53E-06,0,0,5.114,-92.2
1/25/2023 19:35,47327,12.98,12.98,23.16,79.25,92.8,0.011,3.39E-06,0,0,30.28,-99.4
1/25/2023 19:40,47328,12.97,12.98,23.01,79.07,92.6,0.009,2.70E-06,0,0.526,290.5,-90.3
1/25/2023 19:45,47329,12.97,12.97,22.87,79.12,92.3,0.006,1.88E-06,0,0.089,240.8,-71.07
1/25/2023 19:50,47330,12.97,12.97,22.76,79.08,92,0.008,2.40E-06,0,0.361,321.8,-78.38
1/25/2023 19:55,47331,12.96,12.97,22.66,79.15,92.1,0.007,2.19E-06,0,0.018,157.9,-100
1/25/2023 20:00,47332,12.96,12.96,22.57,79.22,92.4,0.005,1.49E-06,0,0.142,217.1,-98.2
1/25/2023 20:05,47333,12.96,12.96,22.5,79.17,92.6,0.007,1.98E-06,0,0,217.1,-93.6
1/25/2023 20:10,47334,12.95,12.96,22.42,78.87,93.5,0.008,2.55E-06,0,0,86.6,-103.1
1/25/2023 20:15,47335,12.95,12.95,22.33,78.69,94.2,0.008,2.36E-06,0,0,280.2,-98
1/25/2023 20:20,47336,12.95,12.95,22.24,78.52,94.6,0.008,2.32E-06,0,0.107,122.6,-84.8
1/25/2023 20:25,47337,12.95,12.95,22.17,78.53,94.7,0.008,2.28E-06,0,0.083,38.52,-112.4
1/25/2023 20:30,47338,12.94,12.95,22.08,78.41,95.1,0.005,1.65E-06,0,0,41.45,-123.1
1/25/2023 20:35,47339,12.94,12.94,22.01,78.33,95.2,0.007,2.06E-06,0,0,44.15,-124.3
1/25/2023 20:40,47340,12.94,12.94,21.94,78.4,94.9,0.005,1.44E-06,0,0.076,37.18,-128.2
1/25/2023 20:45,47341,12.94,12.94,21.89,78.59,94.6,0.007,1.98E-06,0,0,338.5,-84.9
1/25/2023 20:50,47342,12.94,12.94,21.86,78.75,94.6,0.007,2.11E-06,0,0,339.2,-60.99
1/25/2023 20:55,47343,12.94,12.94,21.83,78.57,94.8,0.006,1.74E-06,0,0,15.9,-61.61
1/25/2023 21:00,47344,12.93,12.94,21.78,78.35,95.2,0.007,2.03E-06,0,0.083,219.8,-128.2
1/25/2023 21:05,47345,12.93,12.93,21.73,78.34,94.8,0.007,1.97E-06,0,0.037,47.43,-123.6
1/25/2023 21:10,47346,12.93,12.93,21.67,78.31,94.1,0.006,1.88E-06,0,0.112,233,-120.5
1/25/2023 21:15,47347,12.93,12.93,21.64,78.46,93.8,0.006,1.66E-06,0,0.141,260.9,-100.3
1/25/2023 21:20,47348,12.93,12.93,21.62,78.56,94.1,0.007,2.08E-06,0,0,290.4,-86.7
1/25/2023 21:25,47349,12.93,12.93,21.59,78.42,94.2,0.007,1.99E-06,0,0,292.7,-81.8
