DateTime,SRD_wpm2,HMD_pct,TMP_F,RNF_in,WND_deg,WNS_mph
2017-04-25 09:45:00,172.7,85.2,83.8,0.0,0.0,0
2017-04-25 10:00:00,164.1,84.6,83.2,0.0,224.5,0.636
2017-04-25 10:15:00,184.6,85.2,82.7,0.0,263.1,0.88
2017-04-25 10:30:00,285.8,87.3,83.0,0.0,200.9,0.854
2017-04-25 10:45:00,139.8,87.6,83.2,0.0,182.7,2.215
2017-04-25 11:00:00,144.6,84.2,83.0,0.0,215.2,1.512
2017-04-25 11:15:00,143.9,84.1,82.3,0.0,199.4,1.738
2017-04-25 11:30:00,165.1,87.0,82.7,0.0,196.8,1.942
2017-04-25 11:45:00,200.1,85.4,82.7,0.0,204.9,1.426
2017-04-25 12:00:00,189.9,85.0,82.9,0.0,191.8,2.24
2017-04-25 12:15:00,263.4,86.6,82.9,0.0,188.1,2.097
2017-04-25 12:30:00,987.0,76.84,84.5,0.0,183.0,1.583
2017-04-25 12:45:00,921.0,80.4,87.2,0.0,314.2,2.955
2017-04-25 13:00:00,1063.0,78.51,87.6,0.0,318.8,3.311
2017-04-25 13:15:00,961.0,75.87,87.3,0.0,321.5,3.348
2017-04-25 13:30:00,887.0,76.7,87.7,0.0,322.1,3.137
2017-04-25 13:45:00,565.8,80.6,86.2,0.0,301.7,3.117
2017-04-25 14:00:00,445.3,83.3,85.7,0.0,301.3,2.203
2017-04-25 14:15:00,462.0,76.96,86.2,0.0,278.1,1.666
2017-04-25 14:30:00,667.9,78.98,85.7,0.0,245.4,1.279
2017-04-25 14:45:00,425.3,77.27,86.8,0.0,313.6,1.38
2017-04-25 15:00:00,290.2,81.0,85.0,0.0,218.1,1.566
2017-04-25 15:15:00,434.6,83.7,85.9,0.0,321.5,1.969
2017-04-25 15:30:00,300.2,82.2,84.8,0.0,293.7,1.766
2017-04-25 15:45:00,263.0,81.7,84.4,0.0,302.6,1.286
2017-04-25 16:00:00,180.0,86.6,84.4,0.0,295.4,0.965
2017-04-25 16:15:00,216.6,84.6,83.9,0.0,304.3,1.227
2017-04-25 16:30:00,182.9,83.5,82.5,0.0,221.9,0.56
2017-04-25 16:45:00,85.0,88.5,81.9,0.0,257.3,0.368
2017-04-25 17:00:00,35.52,90.1,81.0,0.0,265.7,0.799
2017-04-25 17:15:00,31.95,89.9,80.8,0.0,252.8,0.572
2017-04-25 17:30:00,29.97,91.6,80.5,0.0,225.8,0.506
2017-04-25 17:45:00,29.54,91.2,80.3,0.0,179.3,0.305
2017-04-25 18:00:00,13.94,92.9,80.5,0.0,162.0,0.46
2017-04-25 18:15:00,3.148,93.6,79.99,0.0,168.3,0.114
2017-04-25 18:30:00,0.256,94.2,79.72,0.0,163.8,0.558
2017-04-25 18:45:00,0.045,95.1,79.85,0.0,167.8,0.382
2017-04-25 19:00:00,0.064,95.8,79.6,0.0,143.6,0.494
2017-04-25 19:15:00,0.053,96.0,79.38,0.0,175.9,0.343
2017-04-25 19:30:00,0.046,93.8,79.74,0.0,161.3,0.585
2017-04-25 19:45:00,0.04,92.7,81.1,0.0,178.0,0.703
2017-04-25 20:00:00,0.049,90.2,80.4,0.0,203.1,0.241
2017-04-25 20:15:00,0.051,85.1,81.7,0.0,179.6,2.353
2017-04-25 20:30:00,0.053,89.3,81.8,0.0,172.9,0.709
2017-04-25 20:45:00,0.047,89.4,80.8,0.0,133.9,0.209
2017-04-25 21:00:00,0.057,90.3,80.9,0.0,194.4,0.253
2017-04-25 21:15:00,0.051,92.4,80.2,0.0,163.7,0.467
2017-04-25 21:30:00,0.051,92.8,80.3,0.0,183.8,0.454
2017-04-25 21:45:00,0.046,94.7,79.8,0.0,117.9,0.124
2017-04-25 22:00:00,0.045,94.2,80.0,0.0,161.1,0.937
2017-04-25 22:15:00,0.039,92.3,80.1,0.0,185.6,0.508
2017-04-25 22:30:00,0.045,94.2,79.89,0.0,149.7,0.187
2017-04-25 22:45:00,0.054000000000000006,91.1,79.88,0.0,256.0,0.65
2017-04-25 23:00:00,0.047,96.0,79.55,0.0,157.6,0.378
2017-04-25 23:15:00,0.043,94.7,79.03,0.0,189.7,0.141
2017-04-25 23:30:00,0.045,93.5,79.61,0.0,186.1,0.138
2017-04-25 23:45:00,0.051,95.0,79.36,0.0,178.8,0.323
2017-04-26 00:00:00,0.040999999999999995,96.4,79.31,0.0,165.6,0.448
2017-04-26 00:15:00,0.040999999999999995,93.5,79.13,0.0,168.0,0.456
2017-04-26 00:30:00,0.048,93.4,79.64,0.0,204.2,0.186
2017-04-26 00:45:00,0.052000000000000005,93.5,79.68,0.0,210.0,0.566
2017-04-26 01:00:00,0.052000000000000005,90.6,80.4,0.0,283.1,0.838
2017-04-26 01:15:00,0.044000000000000004,89.4,81.1,0.0,292.0,2.004
2017-04-26 01:30:00,0.051,89.9,80.8,0.0,291.7,1.749
2017-04-26 01:45:00,0.05,92.2,80.5,0.0,297.1,3.154
2017-04-26 02:00:00,0.054000000000000006,92.0,79.12,0.0,278.7,2.34
2017-04-26 02:15:00,0.045,96.8,78.38,0.0,201.6,1.224
2017-04-26 02:30:00,0.044000000000000004,94.6,77.68,0.0,178.0,0.677
2017-04-26 02:45:00,0.053,95.1,77.23,0.0,210.2,0.106
2017-04-26 03:00:00,0.042,95.8,76.6,0.0,159.8,0.663
2017-04-26 03:15:00,0.045,96.2,76.9,0.0,155.1,0.942
2017-04-26 03:30:00,0.040999999999999995,96.4,77.05,0.0,157.9,0.399
2017-04-26 03:45:00,0.046,97.3,77.11,0.06,178.4,0.996
2017-04-26 04:00:00,0.055999999999999994,99.4,77.55,0.02,229.5,0.578
2017-04-26 04:15:00,0.051,97.2,77.57,0.0,153.7,0.191
2017-04-26 04:30:00,0.049,98.7,77.47,0.0,0.0,0
2017-04-26 04:45:00,0.047,97.9,76.98,0.0,224.2,0.43
2017-04-26 05:00:00,0.053,99.3,76.77,0.0,251.5,0.197
2017-04-26 05:15:00,0.051,99.3,76.77,0.0,210.1,0.068
2017-04-26 05:30:00,0.055999999999999994,98.8,77.04,0.0,202.9,0.326
2017-04-26 05:45:00,0.055999999999999994,99.4,77.02,0.0,175.4,0.988
2017-04-26 06:00:00,0.049,99.3,77.15,0.0,187.0,0.747
2017-04-26 06:15:00,0.06,99.6,77.43,0.01,0.0,0
2017-04-26 06:30:00,0.36700000000000005,98.2,77.51,0.05,233.9,0.836
2017-04-26 06:45:00,4.592,99.4,77.58,0.0,242.7,0.296
